1142991
/m/04b0fc
/m/04b0fc
Leslie Charteris
1930
2 1
a 12
across 1
action 1
actually 1
adventure 1
affair 1
after 1
again 1
against 1
allowing 1
also 1
although 2
an 3
and 12
any 1
approximately 1
are 1
arms 1
arthur 1
as 3
associate 1
at 3
back 2
be 3
beautiful 1
becomes 1
been 3
begun 1
being 1
bogus 1
bond 1
book 4
books 2
brief 1
briefly 1
brings 1
britain 1
by 6
carn 1
case 1
chapter 1
character 1
charteris 3
chasing 1
clear 1
climax 1
close 1
compatriots 1
completed 1
conan 1
contains 1
continuing 1
continuity 1
conway 2
country 1
crown 1
cruise 1
daughter 1
dealer 1
death 1
delmar 2
detectiveinspector 1
developing 1
device 1
direct 1
discovers 1
doyle 1
elderly 1
employed 1
end 1
england 1
enter 1
europe 1
even 1
event 1
events 1
excuse 1
executing 1
far 1
fate 1
female 1
fight 1
final 1
finally 1
first 1
flee 1
fleming 1
follow 1
following 1
for 1
forced 1
found 1
foundation 1
friend 2
friends 1
from 3
getaway 1
girlfriend 1
give 1
going 1
had 1
has 3
have 1
he 1
heart 1
held 1
hero 4
herself 1
hiding 1
himself 2
his 10
holm 3
holmes 1
home 1
ian 1
idea 1
in 14
indicate 1
indicates 1
infiltrating 1
initially 1
intent 1
into 1
is 4
its 1
james 1
joins 1
kent 1
kidnapped 1
kill 1
killed 1
knight 1
last 4
later 1
lead 1
learns 1
leslie 1
likes 1
literary 1
live 1
makes 1
man 2
marius 9
mediterranean 1
meet 1
men 1
metafictional 1
millionaire 1
misfortunes 1
months 1
mr 1
much 2
murdered 1
named 1
nature 1
new 1
nod 1
norman 2
notes 1
novel 4
novela 1
novella 1
nursing 1
of 20
old 1
on 3
one 2
only 2
open 1
organization 1
out 1
patricia 1
peace 1
perhaps 1
planning 1
predecessor 1
previous 3
prince 3
prisoner 1
rayt 2
reference 2
referenced 1
regarding 1
relationship 1
relies 1
remains 1
remove 1
replacing 1
rescue 1
rescued 1
reunion 1
revealed 1
revenge 1
roger 1
romantic 1
root 1
rudolf 3
safety 1
said 1
saint 2
same 2
scheme 2
sees 1
sequel 1
series 1
sherlock 1
simon 2
since 1
so 1
somewhat 1
sonia 2
soon 1
spark 1
spending 1
starts 1
story 1
subsequently 1
superior 1
suspects 1
sworn 1
taking 1
tale 1
teal 1
templar 18
that 5
the 41
their 1
them 1
they 1
theyve 1
think 1
this 6
three 1
through 1
tiger 1
time 1
to 15
trail 1
trilogy 1
turning 1
twice 1
two 1
ultimate 1
unidentified 1
upon 1
used 1
villains 1
war 1
was 2
well 1
whichever 1
while 1
who 4
whose 1
with 4
woman 1
world 2
would 1
writer 1
years 1
you 1
