3595657
/m/09nsrk
/m/09nsrk
Graham Edwards
2001-12
180 1
a 4
along 1
amara 2
and 2
are 1
ascend 1
at 1
awaits 1
basilisk 1
bizarre 1
boat 1
companions 1
coyote 2
demons 1
each 1
face 1
final 1
find 1
flying 1
from 2
group 1
his 1
historian 1
human 1
in 1
including 1
inhabiting 1
jonah 1
man 1
meets 1
monolith 1
mostly 1
nineteenthcentury 1
of 4
onceimmortal 1
one 1
originates 1
others 1
own 2
prepare 1
several 1
tale 1
the 5
their 1
them 1
this 1
to 2
tom 1
top 1
what 1
who 2
with 1
woodspirit 1
world 1
worldsized 1
year 1
