3261065
/m/091yh8
/m/091yh8
Larry Niven

{"/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
11 1
a 11
add 1
adult 1
after 1
allied 1
americans 1
americas 1
an 3
ancestors 1
and 19
angeles 1
any 1
appear 1
are 2
area 1
as 1
associating 1
authors 1
base 1
beaten 1
became 1
becomes 1
beyond 1
bones 1
boy 1
broken 1
burn 1
but 2
by 3
can 1
cannot 1
carry 1
catch 1
cats 1
character 1
city 3
civilization 1
class 2
classes 1
conquered 1
conquest 1
consists 1
culture 1
defeats 1
descendants 1
described 2
down 1
empire 1
entering 1
epilogue 1
escape 1
essentially 1
establish 1
events 1
eventually 1
every 1
exatlantis 1
existing 1
few 1
fighters 1
find 1
fire 1
first 1
for 1
forbidden 1
founds 1
from 2
further 1
gangs 1
gathering 1
girl 1
god 1
he 3
hills 1
his 1
honor 1
horses 1
illegally 1
in 5
including 1
indolent 1
information 1
into 1
is 3
kinless 6
knife 1
last 1
leave 1
live 2
long 1
lord 2
lordkin 6
lords 3
lordsmen 1
los 1
main 1
malevolent 1
modern 1
murderer 1
native 1
not 3
novel 1
of 11
old 1
on 2
organised 1
out 1
parts 1
people 2
placate 1
police 1
possesses 1
presumably 1
product 1
proud 1
rape 1
rapist 1
reader 1
reality 1
regret 1
resist 1
returns 1
route 1
ruling 1
savage 1
scarring 1
segregated 1
separate 1
set 1
severely 1
site 1
slave 1
socalled 1
some 2
stage 1
strangely 1
street 1
successful 1
supervise 1
surrounding 1
sympathy 1
teams 1
tep 1
the 41
their 1
there 1
they 4
thief 1
three 1
timeline 1
to 5
town 6
trade 1
traders 1
trading 1
unarmed 1
undisciplined 1
uneducated 1
unto 1
untrained 1
up 1
use 1
vegetation 1
weapons 2
whandall 2
whatever 1
wheels 1
who 4
wipe 1
wish 1
with 2
without 3
wizard 1
woman 1
yanginatep 2
year 1
years 1
