10848775
/m/02qrx30
/m/02qrx30
Isobelle Carmody
2008-02
a 1
able 1
against 1
an 1
and 1
at 1
be 1
beforetime 1
bring 1
but 1
by 1
caused 1
changes 1
clue 1
coast 1
complete 1
dangerous 1
destroy 2
dies 1
drawn 1
elsepth 1
elspeth 2
everyone 1
everything 1
faction 1
final 1
find 1
finds 1
for 1
from 1
has 1
heart 1
her 3
herder 1
herself 1
if 2
into 1
invasion 1
it 2
journey 1
just 1
learns 2
might 1
most 1
needed 1
never 1
not 1
obernewtyn 1
of 3
on 1
out 2
pitted 1
plot 1
quest 1
quickly 1
rebel 1
rebellion 1
risks 1
sets 1
she 5
stop 1
strangest 1
succeeds 1
sutrium 1
terrible 1
testify 1
the 10
them 1
to 8
traitor 1
trial 1
weaponmachines 1
welcomed 1
west 1
when 1
which 1
will 1
wiped 1
yet 1
