447792
/m/029lwz
/m/029lwz
Sigmund Freud
1930
{"/m/05h83": "Non-fiction"}
a 23
able 1
about 1
accept 1
acknowledges 1
act 1
actions 1
actually 1
adaptation 1
addition 1
addresses 1
admits 1
advances 1
affection 2
against 2
aggressive 5
aggressiveness 1
aiminhibited 1
aims 1
all 4
allows 1
alongside 1
also 6
ambivalent 1
an 6
anal 1
analogy 1
ancient 1
and 49
answer 1
anxiety 1
any 1
appropriated 1
are 5
arise 1
arises 1
as 11
asks 1
aspects 2
at 3
attempt 1
attempts 1
authority 1
avoid 2
back 1
banding 1
battle 1
be 11
beauty 1
became 1
because 1
become 1
becomes 1
been 1
before 1
begins 3
behind 1
being 3
beings 2
belong 1
best 1
better 1
between 6
bind 1
blessing 1
blurred 1
book 4
born 1
both 1
bound 1
boundary 1
bringing 2
brothers 1
building 1
built 1
but 6
by 8
can 2
cannot 4
categorizes 1
cause 1
certain 1
certainly 1
chapter 5
character 1
child 2
civilization 11
civilizations 1
civilized 2
claims 1
cleanliness 1
clearly 1
coincided 1
commandeered 1
committed 1
communal 1
communities 1
compensated 1
components 1
compromises 1
concedes 1
concept 2
concludes 2
conflict 1
conjecture 1
connected 1
conscience 3
consciousness 1
considers 1
contemporary 1
control 1
conviction 1
counter 1
created 1
creates 2
creating 1
cruel 1
cultural 2
culture 4
curb 1
dealt 1
death 3
delves 1
demands 1
desire 1
desires 1
destruction 1
destructive 1
develop 2
development 3
developmental 2
develops 1
different 1
differentiated 1
difficult 1
diffused 1
diluted 1
directed 2
discontent 2
discounts 1
disorders 1
displeasure 2
dissolution 1
distance 1
distinct 1
distinction 1
distorted 1
distributed 1
do 1
does 1
drama 1
draws 1
drive 2
each 1
earlier 2
eg 1
ego 8
egoinstinct 1
either 1
elements 1
endemic 1
energies 1
ensue 1
eros 3
eroticism 1
especially 1
essential 1
eternal 2
eternity 1
exercise 1
exist 1
existence 2
exists 3
expanding 1
experience 2
experienced 1
experiencing 1
explain 1
explaining 1
exploration 1
explores 1
extrapolate 1
face 1
families 1
fantasized 1
father 2
fatherfigure 1
feeling 7
feelings 1
felt 1
fifth 1
final 1
followed 1
for 16
forces 1
form 1
forming 1
forms 1
fourth 1
frail 1
freud 22
freuds 2
from 5
frustration 1
frustrations 1
fulfill 1
functions 1
fundamental 1
future 1
genuine 2
goal 1
gradually 1
grasps 1
gratificationseeking 1
guilt 5
guilty 1
had 1
happiness 4
has 5
hate 1
have 3
he 4
healthy 1
hearts 1
heavenly 1
helplessness 1
higher 1
highest 1
himself 1
his 10
history 2
hope 1
hoping 1
how 3
human 9
humanity 2
hygiene 1
hypothesis 1
idea 1
ideals 2
if 4
illusion 1
illwill 1
imagines 1
important 1
imposes 1
impulses 1
in 18
including 1
indeed 1
individual 5
individuals 2
infant 1
instill 1
instinct 8
instincts 3
instinctual 3
intellectual 1
interpersonal 1
into 10
introjected 1
investigations 1
inward 1
irreducible 1
irrevocable 1
is 26
it 15
its 10
itself 5
key 1
kill 1
known 1
largest 1
last 1
later 1
laws 1
learning 1
left 1
libidinal 2
libido 2
life 4
limit 1
limitlessness 1
live 2
local 1
long 1
longing 1
lost 1
love 8
lower 1
main 1
make 1
making 1
man 2
mankind 1
many 2
master 1
may 4
mediate 1
members 3
mental 1
mixed 1
modes 1
more 3
mortal 1
most 1
must 7
narcissism 1
natural 2
nature 1
need 4
negative 1
neurosis 1
neurotic 3
neurotics 1
new 1
nonjudgemental 1
not 4
notes 2
now 1
object 2
objectinstinct 1
objects 1
oceanic 4
oedipal 1
of 66
often 1
on 5
one 2
ones 1
only 1
or 4
order 4
other 3
our 2
ourselves 1
out 7
over 1
overlooked 1
own 2
paid 1
painful 2
paradox 1
passive 1
pathological 1
pathology 1
patients 1
pay 1
peaceful 1
people 5
perhaps 1
pinnacle 1
play 1
pleasure 3
point 1
points 2
ponders 1
possible 1
powers 1
precisely 1
predisposed 1
previous 1
price 2
primarily 1
primary 1
principle 3
programme 1
protect 1
psychoanalytic 1
punishes 1
purpose 2
reality 4
realizes 1
reasons 2
recommendation 2
regards 1
regression 1
relationship 1
religion 2
religious 3
remainder 1
remorse 1
renunciation 1
representative 1
repressed 2
repression 4
repressive 1
rest 1
restrain 1
restrictions 2
reviews 1
rival 1
rules 1
runs 1
sadomasochism 1
same 4
satisfy 1
science 1
second 1
section 2
secure 1
securing 1
sees 1
sense 1
separate 1
separated 1
serious 1
service 1
sets 1
seventh 1
sexual 3
share 1
shown 1
simply 2
single 1
sins 1
sixth 1
so 2
societal 1
society 9
soothe 1
source 3
sources 1
speak 1
stage 1
stand 1
state 1
states 1
sticks 1
struggle 1
styles 1
subject 1
sublimation 1
submit 1
suffering 3
superego 3
supposed 1
suppress 1
suppressed 1
suppression 1
symptoms 1
taboo 1
taboos 1
taking 1
technological 1
tendency 1
term 1
terms 1
than 2
thanatos 2
that 34
the 89
their 2
them 1
themselves 1
then 3
there 7
these 7
they 2
third 1
this 14
though 1
three 1
through 1
thus 2
time 2
to 33
together 4
tolerate 2
tool 1
totem 1
towards 3
transgressions 1
trend 1
true 1
try 1
trying 1
turned 2
twin 1
two 2
unconscious 1
undergoes 1
unhappiness 2
up 3
upright 1
us 2
used 1
useful 1
various 1
view 1
way 1
we 4
what 1
when 3
where 1
which 7
while 3
wholeness 1
why 2
will 3
wishes 1
wishfulfillments 1
with 5
within 5
wonders 1
work 3
works 1
world 4
writings 1
yet 1
