8710283
/m/027ftz3
/m/027ftz3
Eoin Colfer
2008-07-16
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
10yearold 1
2 1
8 1
84701 4
a 20
able 2
about 2
according 1
act 1
action 1
actually 1
addition 1
adolescent 1
after 3
against 1
ago 1
agrees 1
allowing 1
almost 2
also 2
always 1
an 4
and 32
angeline 6
animal 1
animals 1
another 2
anyone 1
arctic 1
are 3
argues 1
arrive 1
artemis 42
as 1
ascending 1
assures 1
astonishing 1
at 2
attack 1
attacked 1
avoid 1
away 2
back 3
battle 1
be 4
because 2
become 1
becomes 1
been 1
beneath 1
bentley 1
body 1
both 1
boulder 1
boulders 1
brain 1
breaking 1
breaks 1
bridge 1
brother 1
buried 1
but 8
butler 4
by 8
cage 1
called 1
can 2
captain 1
captured 1
capturing 1
caused 1
causes 1
chance 1
chase 1
coastline 1
collarbone 1
collect 1
commandeer 1
commander 1
concludes 1
condition 2
confesses 1
contacts 1
contracts 1
control 1
crash 1
crossing 1
cure 2
cured 1
days 1
dead 1
deal 1
debilitating 1
debriefs 1
defibrillator 1
dependent 3
desperately 1
determine 1
die 1
died 1
diggums 1
disappeared 1
discover 1
discovers 1
disease 2
does 1
dropped 1
due 2
dwarf 1
each 1
earlier 1
early 1
eight 1
elements 1
endangered 1
ensuing 1
entire 1
escape 1
escapes 2
escaping 1
euros 1
events 4
eventually 2
everyone 1
everything 2
except 1
execute 1
execution 1
exhibits 1
exists 1
expedition 1
explodes 1
extinct 1
extinctionists 4
fact 1
fairies 4
fairy 1
falls 1
father 1
fights 1
find 2
finds 2
fists 1
flames 1
flees 1
flies 1
fluid 1
fly 2
foaly 3
following 1
follows 1
for 5
forced 2
forces 1
forcing 1
forgot 1
fowl 4
from 7
future 3
giddy 1
give 1
giving 1
gloats 1
go 1
goes 1
gone 1
gorilla 1
grounds 1
group 1
guilty 1
gunpoint 1
had 1
hairier 1
happened 1
has 6
have 2
haze 1
he 5
heal 1
heals 1
heart 1
help 4
her 9
herself 3
him 6
himself 3
his 16
holly 13
holograms 1
hopes 1
however 3
hundred 1
hurrying 1
idea 1
immediately 1
in 24
incident 1
infected 1
initial 2
inject 1
inspires 1
instead 1
interest 4
into 6
is 20
it 7
kisses 1
kleptomaniac 1
knows 1
koboi 4
kraken 1
land 1
large 1
leader 1
leave 1
lemur 12
lie 1
light 1
little 1
locks 1
lower 1
luring 1
lying 1
madagascar 1
made 2
magic 3
make 1
makes 1
manor 2
meets 1
mesmer 2
mesmerised 1
mind 2
missing 1
money 1
morocco 1
mother 8
motion 1
much 1
mulch 1
nearly 1
nemesis 1
neutral 1
new 1
not 3
obtaining 1
occurs 1
of 16
old 1
older 2
on 8
only 2
opal 11
open 1
ordered 1
originated 1
other 1
others 1
out 3
outraged 1
over 2
paradox 4
park 2
partnered 1
past 2
physically 1
pit 1
plan 1
plane 3
plaything 1
pleads 1
police 1
predictions 1
pretends 1
primate 1
process 1
professor 1
pulverising 1
pursues 1
put 1
quickly 1
quietly 1
races 1
rare 1
rathdown 1
reader 1
realising 2
recovers 1
redeems 1
reduced 1
release 1
relentlessly 1
relief 1
rescue 1
research 2
resembling 1
retains 1
retrieve 1
return 1
returned 1
returns 1
revealed 1
reveals 4
revived 1
room 1
root 1
rope 1
rubble 1
runs 1
ruthless 1
same 1
save 3
saying 1
search 1
second 2
sections 1
seeing 1
self 1
sent 1
series 3
set 1
sets 1
she 11
shed 1
shell 2
shoots 1
shore 1
short 1
shuttle 1
shuttleport 1
sifaka 1
significantly 1
silky 1
simply 1
slip 1
sneaks 1
sold 1
some 1
species 1
spelltropy 4
spread 1
standing 1
stream 4
strength 1
study 1
suffering 1
symptoms 1
system 1
take 1
takes 3
talk 1
tara 1
team 1
tells 2
thanks 1
that 20
the 73
their 1
them 2
then 2
there 1
these 1
they 8
this 1
thousand 1
through 1
thus 1
time 11
to 45
took 1
trade 1
tranquilises 2
tries 1
trunk 1
truth 1
two 2
unfortunately 1
unknown 1
up 4
use 1
was 3
way 1
weakened 1
when 5
where 1
which 4
while 2
who 5
whole 1
will 7
wipe 1
wiped 1
with 9
without 1
won 1
worse 1
wounds 1
wreckage 1
wrong 1
years 2
young 1
younger 4
