867420
/m/03jxxd
/m/03jxxd
Graham Greene
1960
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 21
absolutely 1
absurdity 1
accept 1
accusations 1
accused 1
accuses 1
acted 1
activities 1
actually 1
adultery 1
affair 2
african 1
after 1
aintly 1
also 2
american 1
amplify 1
an 8
and 27
angered 1
angry 2
anonymously 1
approaches 1
architect 3
arrived 1
arrives 3
arriving 1
art 1
article 1
articles 1
as 9
ask 1
at 10
attempt 1
banned 1
be 2
became 2
becomes 4
been 2
before 1
begins 2
being 2
believes 1
between 1
bored 1
both 1
bottle 1
briefly 1
bringing 1
brings 1
building 1
buried 1
burntout 1
but 3
by 7
called 1
calls 1
capital 1
case 1
catholic 2
celebrity 1
child 4
churches 1
claims 1
closely 1
colin 3
colony 1
committed 1
completion 1
confront 1
confrontation 1
confronts 1
congo 1
construction 2
contraception 1
convent 1
convict 1
country 1
crying 1
cure 1
damaging 1
days 1
defiled 1
demands 1
departure 1
design 1
designing 1
despite 3
diagnosed 1
diary 1
dies 1
discovering 1
disease 1
doctor 3
does 2
dr 3
effectively 1
endure 1
english 1
enraged 1
entry 1
equivalent 1
european 1
faith 3
famous 2
father 1
fears 1
fed 1
feelings 1
finds 1
first 1
following 2
for 8
forced 1
former 1
freedom 1
from 1
fulfills 1
going 2
gone 2
grief 1
growing 1
guilt 1
has 4
have 1
having 6
he 3
her 8
him 4
himself 3
his 17
home 1
hospital 2
hotel 1
however 5
husband 1
image 2
in 16
incident 1
including 1
inform 1
informs 2
intention 1
interviewed 1
intimate 1
into 1
investigates 1
is 15
it 2
journalist 1
journey 2
jungle 1
jury 1
known 1
lack 1
later 1
laugh 1
laughing 1
laughs 1
learning 1
learns 1
leaves 2
leper 2
lepers 1
leproserie 1
leprosy 1
life 2
longer 1
loses 1
losing 1
loss 1
lost 1
lover 1
luc 6
magnify 1
man 3
many 1
may 1
meaning 1
meeting 1
meets 1
mental 1
mind 1
misinterprets 1
missionaries 1
morning 1
mrs 6
mutilated 1
mutilation 1
near 1
nearing 1
neither 1
never 3
newspapers 1
next 1
night 2
no 1
north 1
not 5
nothingness 1
novel 1
numerous 1
objections 1
occupants 1
of 27
old 1
on 2
one 2
only 2
or 2
order 1
overseeing 1
overseen 1
own 2
owner 1
palmoil 1
parallels 1
parkinson 2
parksinon 1
parksinson 2
past 1
perceived 1
permission 1
physically 1
pious 1
plantation 1
pleasure 1
portrayal 1
pregnant 4
presence 1
prevent 1
priests 2
prompting 1
prudishness 1
published 1
pursues 1
pursuing 1
pursuit 1
q 1
querry 35
rather 1
reading 1
received 1
refused 1
relevance 1
religious 1
resident 1
result 1
return 1
returns 1
revealed 2
room 2
rooms 1
rycker 24
ryckers 1
saintly 1
see 2
series 1
servant 1
sex 2
shame 1
share 1
she 14
shooting 1
shoots 1
sin 1
sisters 1
sleep 2
slowly 1
so 1
spent 1
stage 1
stating 2
stay 1
story 4
strong 2
subject 1
such 1
suicide 1
supervisor 1
suspects 1
syndicated 1
take 1
takes 1
task 1
tells 3
temporary 1
that 15
the 48
then 1
thomas 1
thought 1
through 1
throughout 1
thus 2
times 1
to 22
travel 1
travels 1
tries 1
troubles 1
two 2
uneducated 1
up 2
upon 2
views 1
village 10
visit 1
visits 1
vocation 2
walk 1
want 1
was 2
way 1
well 1
what 1
when 3
where 1
which 4
while 1
whilst 1
whisky 1
who 6
whom 2
wife 4
wish 1
with 13
woman 1
womanizer 1
working 1
world 1
would 2
writing 1
young 1
