21072948
/m/05c3fk4
/m/05c3fk4
Jens Lapidus
2006
{"/m/0lsxr": "Crime Fiction", "/m/03xj9g": "Hardboiled"}
a 10
abdulkarim 3
about 2
accepts 1
actually 1
after 1
an 1
and 3
apparent 1
appearance 1
assignment 1
barrio 1
based 1
beatenup 1
been 1
blackmail 1
blame 1
book 1
boss 1
business 2
but 1
characters 1
cocaine 3
contracted 1
country 1
countryside 1
courtesy 1
criminal 1
daughter 1
dissuade 1
double 1
dreams 2
driving 1
drug 1
earnings 1
enters 1
errands 1
escapee 1
escapes 1
expand 1
expensive 1
feigns 1
finally 1
finance 1
finds 1
flaunting 1
flee 1
for 2
forest 1
from 2
gets 1
going 1
gone 1
got 1
has 4
have 1
he 4
heard 1
henchman 1
him 2
hire 1
his 2
hitman 1
illegally 1
in 6
instead 1
involved 1
is 5
jetsetter 1
job 1
jorge 5
jw 7
knowledgeable 1
latino 1
laying 1
leading 1
life 3
lifestyle 1
living 1
lovisa 1
mafia 3
man 1
mrado 3
normal 1
of 5
offer 1
offers 1
on 3
once 1
one 1
originally 1
parlance 1
plans 1
prison 3
quick 1
recent 1
runs 2
sales 1
salinas 1
secretly 1
selling 1
serbian 1
simultaneously 1
slovovic 1
stekare 1
sterker 1
stockholm 2
street 1
stureplan 1
swedish 1
taking 1
taxi 2
that 1
the 18
their 1
they 1
three 1
through 1
thus 1
to 7
trade 1
tried 1
underground 1
unite 1
very 1
want 1
was 2
wealth 1
when 1
which 1
while 1
who 3
with 2
word 1
young 1
yugoslav 3
