6914546
/m/0gwv30
/m/0gwv30
Frederik Pohl
2008-08-05
100page 1
13000 1
15 1
1637 1
18 1
350 1
a 17
abducted 1
about 2
absent 1
accept 1
accident 1
achieve 1
achieves 1
across 1
advisory 1
after 3
aircraft 1
alarmed 1
aliens 2
all 1
always 1
america 1
americans 1
an 4
and 29
andrew 1
announce 1
are 2
areas 1
armada 1
arrested 1
artificial 1
as 1
astounded 1
at 1
attack 1
authoritarian 1
available 1
b52 1
back 1
backstory 1
bandara 1
base 1
be 3
because 2
becomes 1
believing 1
board 1
boards 1
bomb 1
bombers 1
briefly 1
bring 1
british 1
broadcast 1
building 1
burden 1
but 5
by 7
can 1
cannot 2
captive 1
captors 1
causing 1
cease 1
century 2
chosen 1
cia 1
cigarshaped 1
claimed 1
collective 1
colombo 1
compared 1
compensation 1
competes 1
completed 1
conceived 1
conflicts 2
conjecture 1
consortium 1
contain 1
control 1
could 1
craft 1
crash 1
cruise 1
cryptography 1
cyberspace 1
daughter 1
de 2
decided 1
decisions 1
demands 1
deployed 1
depression 1
desert 1
desist 1
desolate 1
destinies 1
destruct 1
detect 1
detonations 1
developed 2
dies 1
disable 1
discovered 1
distilled 1
diving 1
does 1
down 2
during 1
dwells 1
early 1
earth 16
effect 1
effects 1
electrical 1
electronically 1
elevator 2
eluded 1
embarks 1
emp 1
end 1
enters 1
equator 1
equipment 1
escalate 1
established 1
everyone 1
evolution 1
evolve 1
exterminate 1
extraterrestrial 1
fame 1
fast 1
fermat 4
fidem 4
finally 1
find 1
first 2
five 1
fives 7
fleet 1
follows 1
for 9
forces 1
forgotten 1
forms 1
free 1
friend 1
from 4
further 2
galactic 3
galactics 5
gamini 4
gold 1
grand 8
habitable 1
had 2
hand 1
happens 1
has 3
have 3
he 11
held 1
her 3
highperformance 1
hijacked 1
his 2
home 1
homeworld 1
how 1
however 1
immediately 1
impressed 1
in 18
incarceration 1
including 1
information 1
inoperable 1
intelligence 1
intelligent 1
interfered 1
international 1
interrogate 1
interrogated 1
into 2
investigation 1
invites 1
is 14
it 2
its 3
join 1
joining 1
korea 1
land 2
lanka 3
last 3
later 4
launch 1
libyan 1
life 2
lifted 1
limbeds 4
locked 1
machine 2
made 1
make 1
malfunctions 1
marries 1
materials 1
mathematical 1
mathematician 2
mathematicians 1
member 1
message 1
messages 2
mid21st 1
mind 2
monitor 1
months 3
moonorbit 1
myra 4
natasha 3
nations 2
nature 1
navigators 1
need 1
never 1
new 2
nine 4
no 1
nonlethal 1
north 1
not 5
novel 1
nuclear 2
number 1
numerous 1
observe 2
obsessed 1
occupy 1
of 22
offer 1
on 10
one 9
or 1
orbit 2
order 3
orders 1
organization 1
over 3
own 1
passing 1
path 1
pax 4
peace 2
pending 1
people 2
per 4
period 1
photon 1
pierre 1
pirates 1
planet 1
point 8
position 2
power 1
powered 1
president 1
progress 1
projection 1
prominent 1
proof 6
provide 2
publication 1
published 1
qattara 1
quite 1
race 2
races 2
ranjit 13
recruited 1
reformed 1
regional 2
relieve 1
renders 1
reparations 1
rescued 1
return 2
returned 1
returns 1
reveal 2
reveals 1
rockets 1
ruined 1
sapient 1
sapients 1
satisfied 2
scuba 1
seawater 1
security 1
see 1
send 2
sentient 1
set 1
several 1
she 1
ship 2
shock 1
short 1
sightings 1
silent 4
six 1
so 1
solar 2
solves 1
soon 1
south 1
soyza 1
space 3
sparking 1
speaking 1
specialist 1
species 2
sri 3
start 1
states 1
sterilize 1
stops 1
stored 2
struggles 1
studying 1
submits 1
subramanian 1
subside 1
superweapon 1
supply 1
suspend 1
suspicion 1
system 1
target 1
task 1
techniques 1
technology 1
terrorism 1
that 7
the 59
their 4
them 2
themselves 2
theorem 4
these 2
they 7
this 2
threepage 1
through 1
thunder 4
time 2
to 26
tortured 1
tour 1
transparency 1
trusted 1
turns 1
twentieth 1
ufo 1
undercover 1
undesirable 1
united 3
university 2
unknown 1
until 1
unused 1
unwittingly 1
up 1
uploaded 1
uploading 1
us 1
use 1
used 1
want 1
was 2
watching 1
waves 1
way 1
when 5
where 1
which 3
while 1
who 4
whom 1
wiles 2
will 2
with 9
without 1
work 1
working 2
world 4
worldwide 1
worry 1
wrote 1
yacht 2
years 2
