25471704
/m/09rsqgj
/m/09rsqgj
Sidney Sheldon

13 1
23 1
25 1
a 55
abort 1
abortion 2
about 4
accident 1
accidentprone 1
act 1
adores 1
africa 3
african 1
after 5
again 1
age 1
ahead 2
alexandra 11
all 3
allowed 1
almost 2
alone 1
along 1
also 2
always 2
american 1
an 8
ancestors 1
and 64
anger 1
angry 1
annoyed 1
another 1
any 1
anything 1
approve 1
are 4
arm 1
aroused 1
arrested 2
arrive 1
arrived 1
as 12
assumed 1
at 2
attempts 1
aware 1
baby 3
back 4
bankrupt 1
be 3
became 3
because 7
become 3
becomes 1
becoming 1
been 1
before 4
begin 1
beginning 1
begins 1
being 3
believe 2
believes 3
best 1
betraying 1
better 1
between 1
bigger 1
birth 5
birthday 2
birthdays 1
bitter 1
blackwell 3
board 3
bomb 1
book 1
both 3
bother 1
boy 2
breaking 1
breaks 1
brother 2
business 5
businesses 1
but 20
buys 2
by 6
called 3
calls 1
came 1
can 1
cannot 2
card 1
causing 3
ceases 1
cedar 2
chance 1
channels 1
charismatic 1
charities 1
charity 2
child 3
childbirth 1
childhood 3
choice 1
claiming 1
claims 1
classmate 1
classmates 1
clear 1
clinic 1
code 1
college 2
comes 1
companies 1
company 9
compared 1
competition 1
complained 1
considered 1
constantly 2
continued 1
convince 1
convinces 2
coordinate 1
copy 1
could 2
country 1
cousin 1
cousins 2
create 1
cure 1
cures 1
daughter 2
day 1
days 2
dead 1
deafness 1
death 2
decided 1
decides 1
demands 1
demented 1
depressed 1
depression 1
despair 1
despite 4
destroying 1
determined 1
diamonds 1
didnt 1
die 1
died 5
dies 1
different 1
distant 1
do 1
doctor 2
does 1
doing 1
dominant 1
down 1
downfall 1
dramatically 1
dream 1
dreams 1
drugs 1
due 3
during 3
each 1
eightyear 1
else 1
embitterment 1
empire 1
employees 1
ended 1
enjoying 1
environment 1
epiphany 1
escape 1
evades 1
eve 17
even 2
event 1
eventually 1
expecting 1
expedition 1
experiences 1
experiencing 1
exposed 1
exposes 1
face 3
failing 2
fall 1
falling 1
family 3
famous 2
father 4
fathers 1
fbi 1
feels 2
few 2
finally 2
find 1
finds 2
first 4
five 1
fixed 1
flashback 1
focuses 1
following 1
for 4
forces 1
fortune 1
founder 1
friend 1
friends 3
from 7
fund 1
funeral 2
furious 2
gabriel 11
gaining 1
game 3
gate 1
gay 1
generations 1
genetic 1
get 3
gets 2
getting 2
girls 1
give 1
gives 1
giving 2
go 3
goes 2
good 1
got 2
granddaughter 1
grandmother 2
greatgranddaughter 1
greatgreatgrandfather 1
grotesque 1
growing 1
grows 2
grudgingly 1
gun 1
had 1
halfdoubting 1
hallucinations 1
hand 2
happiness 1
happy 1
has 9
hasnt 1
hate 1
hated 2
hatred 2
have 9
havent 1
having 1
he 17
healthy 1
hear 2
hearing 2
heart 1
hearts 1
heir 1
help 3
helps 1
her 53
here 1
herself 1
hidden 2
hiding 1
hiking 1
hill 1
him 13
himself 1
his 27
hiv 2
holds 1
home 1
homosexual 1
hostage 1
how 1
however 6
human 1
husband 3
i 1
illegal 1
im 1
image 1
implied 2
implying 1
in 26
incestous 1
influence 1
innocent 1
instead 2
intercourse 1
interested 2
international 1
interpol 1
into 1
is 44
it 10
jaime 7
jealous 1
job 2
join 1
just 1
kate 8
keep 2
keith 6
kept 1
kids 4
kill 1
kills 2
kitten 1
knew 1
known 1
knows 1
krugerbrent 11
late 1
later 2
leader 1
leave 1
leaves 1
left 1
letter 2
letting 1
lexi 34
life 3
like 8
likes 1
limited 1
lips 1
little 1
lived 1
lively 1
lives 1
loathe 1
located 1
long 1
look 1
looks 1
loose 1
lose 1
losing 1
love 1
loves 2
makes 3
making 4
maldives 1
man 1
managed 2
manages 2
mansion 1
many 2
marianne 1
market 1
marred 2
marriage 1
marries 1
marry 3
master 2
matter 1
max 24
maxine 2
mcgregor 3
mcgregors 1
means 1
meanwhile 2
media 1
medicine 1
meets 1
members 1
memory 1
mentions 1
misses 1
moment 1
money 5
monster 1
more 2
mother 5
mountain 1
mousy 1
mysterious 1
naked 1
name 2
names 2
nanny 2
native 1
natives 1
near 1
nearly 2
never 2
new 1
next 1
night 1
nightmares 2
ninetytwo 1
no 2
normal 2
not 6
note 2
noted 1
notes 1
nothing 1
notices 1
notsosecret 1
novel 1
nuisance 1
obsession 1
obviously 1
of 41
off 3
offering 1
old 3
on 6
one 3
only 2
opens 1
other 3
out 8
outside 1
over 5
own 2
owner 1
paid 1
part 3
parties 1
party 2
pass 2
passed 1
pays 1
people 1
person 2
peter 6
phoenix 1
photo 1
photographers 1
pianist 1
piano 1
pictures 2
pillow 1
place 1
plans 3
plastic 1
playboy 1
playing 1
plot 1
police 5
power 2
powerful 1
pregnancy 1
pregnant 3
private 1
problems 2
process 2
prodigy 1
professional 1
promising 1
properly 1
protected 1
proud 1
provocative 1
psychiatrist 1
puberty 1
public 1
push 1
pushes 1
pushing 1
quiet 1
quite 1
rape 1
raped 1
reached 1
read 1
realizes 1
reconcile 1
regrets 1
related 1
relationship 2
reputation 3
requires 1
rereads 1
resign 1
resigning 1
resigns 1
rest 1
result 1
resulting 1
return 1
revealing 1
reveals 1
rid 2
rift 1
