24646271
/m/0808dlx
/m/0808dlx
Audrey Niffenegger
2009

1thcentury 1
a 23
able 2
about 2
above 1
actually 2
advances 1
after 4
again 1
aghast 1
ago 1
along 1
also 1
always 3
america 2
american 1
americans 1
amsterdam 1
an 2
anafranil 1
and 62
anybody 1
apartment 10
april 1
are 4
arm 1
as 10
asks 3
assume 1
asthma 2
at 3
attack 1
attempt 1
attitude 1
aunt 1
aware 2
away 1
baby 1
back 6
balcony 1
be 5
became 1
because 4
becomes 2
been 3
befriends 1
begin 1
begins 3
being 5
below 1
beside 1
between 3
body 12
born 1
both 1
boy 2
break 1
bring 1
brings 1
but 6
by 4
calls 1
can 1
catches 1
caught 1
cemetery 5
child 1
city 1
close 1
coffin 3
come 2
communicate 1
completed 1
compulsive 1
continues 1
cottage 1
crows 2
dating 1
day 9
days 1
dead 3
death 1
deception 1
decided 1
decides 2
delivers 1
deteriorates 1
devastated 1
diaries 1
did 2
didnt 1
died 2
dies 1
discontent 1
discovers 3
disorder 1
dispersed 1
do 1
doesnt 1
dominant 1
done 1
drop 1
drunk 2
due 1
edie 12
edwina 2
elspeth 33
emotionally 2
empty 1
enact 1
end 1
engaged 1
england 1
enticing 1
evening 1
ever 1
everybody 1
everyone 1
everything 2
explained 1
eyes 1
falling 1
falls 1
family 1
fearful 1
few 1
figure 1
figures 1
finally 2
find 1
finds 3
first 1
flat 3
floor 1
flow 1
fly 1
food 1
fool 1
footsteps 1
for 10
formed 1
four 1
free 2
freeze 1
from 5
funeral 2
get 1
gets 1
getting 1
ghost 3
girl 2
girls 3
giving 2
go 6
goes 4
going 1
gone 1
got 1
grabs 1
guide 1
had 3
half 1
hand 1
handsome 1
happy 1
has 11
hasnt 1
have 2
having 1
he 9
hears 1
heart 1
held 2
her 34
highgate 2
him 7
himself 1
his 5
hopes 1
hovers 1
how 1
however 2
identical 1
if 2
ignoring 1
ill 1
illinois 1
impossible 1
in 19
informs 1
insecure 1
inside 5
interred 1
into 7
introduces 1
invisible 1
is 31
isnt 1
it 13
its 1
jack 9
julia 19
just 2
killed 1
kitten 8
knew 1
know 3
knows 2
large 1
late 1
later 3
learning 1
leave 1
leaving 2
left 3
let 2
lets 2
letters 1
leukemia 1
life 5
little 3
live 5
lived 1
lives 2
located 1
london 5
look 1
lost 1
love 3
lover 1
lying 1
made 3
mainly 1
make 1
making 1
man 1
manipulative 1
many 1
marijke 3
marries 1
martin 5
mausoleum 2
medication 1
meet 2
meets 1
milk 1
minus 1
months 1
moods 1
more 3
most 1
mother 2
motorcycle 1
mouse 1
mouth 2
move 4
moves 1
must 1
mute 1
name 1
near 1
need 1
never 1
new 1
no 1
not 4
now 1
obsessive 1
obvious 1
ocd 1
of 15
off 1
old 1
on 9
once 1
one 6
onto 1
other 1
out 6
outside 1
over 3
own 1
participate 1
party 1
person 2
physically 1
pill 1
place 1
places 1
plan 3
played 1
playing 1
pregnant 2
preserve 1
pretending 2
progresses 1
properly 1
put 1
puts 1
rather 1
read 1
real 1
realized 1
realizes 2
really 1
reason 1
recognized 1
recurring 1
refuses 2
relationship 1
remember 1
remove 1
removed 1
removes 1
residence 1
return 1
returns 1
ride 2
rift 2
robert 17
runs 1
secret 2
secretly 1
see 1
seeing 1
seen 1
sees 5
shared 1
she 29
shopping 1
shortly 1
show 1
shrink 1
similarity 1
sister 3
slept 2
slightly 1
so 5
son 1
soon 1
soul 9
spirit 1
spirits 2
spoken 1
stares 1
started 1
story 2
string 1
stronger 2
sure 1
suspicions 1
sussex 3
switch 1
table 1
take 3
takes 4
tells 2
test 1
that 25
the 69
their 2
them 5
theme 1
then 2
theo 1
there 2
thesis 2
they 11
think 2
thinks 2
this 1
thought 1
through 1
throughout 1
time 2
to 49
together 2
too 1
tour 1
toward 2
trap 1
trapped 2
twin 3
twins 5
twinship 1
two 1
unnoticeable 1
up 3
upstairs 1
valentina 36
valve 1
vitamin 1
walk 1
wanted 1
was 5
wasnt 1
way 2
weaker 1
weeps 1
when 5
where 1
which 1
while 1
white 1
who 4
whole 1
whose 1
wife 1
will 4
with 15
without 1
woman 2
wont 1
working 1
works 1
wouldnt 1
year 1
years 1
young 1
