10240199
/m/02q679t
/m/02q679t
Patricia Cornwell
2000
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 4
accept 1
against 1
also 1
an 1
and 5
animal 1
another 1
anythingbutaltruistic 1
apparent 1
arrival 1
at 1
attack 1
attorney 1
before 1
behind 1
believes 1
benton 1
berger 1
between 1
black 1
bray 2
by 1
chandonne 4
character 1
clear 1
competent 1
concentrates 1
confrontations 1
death 1
desire 1
diane 1
discovering 1
district 1
due 1
end 1
even 1
events 1
evidence 1
examine 1
fears 1
following 1
for 1
forensic 1
from 1
full 1
her 5
his 1
house 1
in 5
including 1
instinct 1
is 2
its 1
jaime 1
jeanbaptiste 1
kay 4
killed 1
killing 1
killings 1
known 1
last 1
life 1
link 1
lover 1
major 1
misconceptions 1
motives 1
murder 1
must 1
name 1
new 3
notice 1
of 5
office 1
on 2
own 2
past 1
precinct 1
public 1
rescuers 1
rivalry 1
scarpetta 2
seems 1
sifts 1
story 1
suspicion 1
that 1
the 9
their 1
through 1
to 7
torn 1
turn 1
two 1
under 1
up 1
virginia 1
wesley 1
who 1
with 1
woman 2
working 1
wouldbe 1
wounded 1
years 1
york 2
