16638957
/m/03yj09_
/m/03yj09_
Betsy Byars

181 1
a 6
abigail 1
also 2
amen 5
an 2
and 8
annabella 1
arabella 1
arrival 1
arrives 1
as 2
augusta 1
awareness 1
bearing 1
boldness 1
born 1
brings 1
but 4
cameras 1
caring 1
changes 1
child 1
children 1
cold 1
culminates 1
daughter 2
death 1
disappointing 1
doves 1
during 1
especially 1
everyone 1
family 3
father 3
fear 1
for 1
frail 1
gifts 1
grandmother 1
grows 1
have 1
he 1
her 7
hermit 1
history 1
humour 1
in 2
infant 1
inspire 1
inspires 1
into 1
is 3
kindness 1
learning 1
life 1
lives 3
longawaited 1
loving 2
maternal 1
mcbee 1
might 1
misunderstood 1
more 2
mother 1
mr 1
mysterious 1
new 1
now 1
of 8
older 1
on 1
only 1
parts 1
poems 1
pregnancy 1
progressive 1
property 1
saved 1
secret 1
she 1
sister 2
sisters 2
sixth 1
son 1
spinster 1
spirit 1
starts 1
stern 1
strengths 1
teach 1
the 7
their 1
to 1
tominski 1
tragedy 1
trained 1
twin 1
until 1
up 1
weaknesses 1
wealthy 1
wellloved 1
which 1
who 1
with 2
word 1
write 1
