701947
/m/03400m
/m/03400m
Victor Koman

a 3
about 1
activity 1
actually 1
all 1
and 1
at 1
based 1
bronx 1
commercial 1
create 1
disparate 1
efforts 1
engineering 2
equipment 1
existed 1
exploration 1
far 1
follows 1
forth 1
from 3
fullfledged 1
going 1
helping 1
in 2
is 2
it 1
launch 1
like 1
narrative 1
nasa 2
new 1
of 3
on 1
operations 1
orbit 1
out 1
polemic 1
prevents 1
ranging 1
reusable 1
rocket 1
science 1
singlestage 1
space 2
story 2
students 1
suit 1
technology 1
that 2
the 8
thesis 1
time 1
to 3
university 1
used 1
vehicle 1
warehouse 1
was 1
working 1
writing 1
york 1
