17840107
/m/047f6y4
/m/047f6y4
Nathalie Mallet
2007-08
a 4
alchemical 1
all 1
amir 3
and 3
at 1
barbarian 1
barred 1
beautiful 1
becomes 1
begin 1
bring 1
brother 1
brothers 4
by 1
cage 2
chosen 1
constant 1
dark 1
death 1
die 1
discover 1
erik 1
ever 1
finds 1
from 2
golden 1
halls 1
hands 1
has 1
he 2
him 1
himself 1
his 6
hundreds 1
in 2
is 1
lavish 1
law 1
leaving 1
life 1
lives 2
living 1
means 1
must 1
next 1
of 7
one 1
or 1
palace 2
prince 1
princess 1
pursuits 1
scheming 1
scholarly 1
secret 1
seemingly 1
solitude 1
son 1
stalking 1
study 1
sultan 1
supernatural 1
suspicion 1
that 1
the 6
their 1
they 1
threat 1
thrown 1
to 1
together 2
under 2
until 1
when 1
with 2
