17199676
/m/043sgn8
/m/043sgn8
Jennifer Allison
2005-07
{"/m/014dfn": "Speculative fiction"}
13yearold 2
a 12
accident 1
actually 1
after 1
age 1
ago 1
airline 1
all 2
allowed 1
an 3
and 14
ankle 1
around 1
arrival 1
arrives 1
as 4
assistant 1
at 3
aunt 1
automatic 1
back 2
backyard 1
ballet 1
be 4
become 1
bedridden 1
been 1
before 1
bluff 1
broken 1
brother 1
but 1
by 1
case 1
causing 1
class 2
climbing 1
come 1
company 1
complete 1
considering 1
cousin 1
covered 1
currently 1
dampen 1
daughter 2
day 1
death 3
detroit 1
died 1
down 1
during 1
enthusiasm 1
enthusiastic 1
faint 1
fall 1
family 1
fare 1
father 2
find 1
finds 1
fog 1
following 1
for 6
found 1
francisco 4
friend 1
from 3
fun 1
getting 1
gilda 11
go 1
going 1
group 1
had 1
happened 1
hardly 1
have 2
having 1
he 1
her 18
herself 1
his 3
home 1
house 1
illness 1
in 5
incorporate 1
instinct 1
into 3
intriguing 1
introducing 1
investigation 3
investigations 1
investigator 1
inviting 1
is 8
it 3
its 1
joyce 1
juliet 4
jump 1
keeps 1
learns 1
lester 2
letter 2
lie 1
lies 1
life 1
little 1
lives 1
looks 1
magic 1
makes 1
mansion 1
meanwhile 1
melanie 4
met 1
mission 1
mother 2
mr 3
much 1
mystery 1
not 1
of 8
older 1
on 2
one 1
only 1
opportunity 1
own 1
paradise 1
partners 1
people 1
petite 1
pictured 1
pills 1
place 1
possible 1
providing 1
psychic 2
quickly 1
really 1
recovering 1
regular 1
requesting 1
rib 1
sadistic 1
san 4
saying 2
second 1
see 1
seemed 1
sent 1
she 10
should 1
sister 1
sleeping 1
slightly 1
so 4
some 1
soon 2
splinter 9
splinters 1
spunky 1
spying 1
stair 1
stairs 1
standing 1
start 1
stay 2
staying 1
stephen 1
stranger 1
such 1
suicide 1
summer 5
sunny 1
swallowing 1
teacher 1
that 8
the 14
their 1
they 2
this 1
thrilled 1
through 2
to 15
together 1
told 1
top 2
tower 1
town 1
tries 1
twisted 1
two 1
typewriter 2
uncle 1
uncover 1
unlikely 1
unsociable 1
upon 1
very 1
wants 1
warm 1
was 3
ways 1
what 1
when 2
which 1
who 3
whose 1
will 2
with 4
wouldnt 1
writes 2
writing 1
years 1
