2554063
/m/07mn25
/m/07mn25
Gary Gygax
1981
{"/m/06c9r": "Role-playing game", "/m/014dfn": "Speculative fiction"}
a 14
abyss 1
adventure 1
adventurers 3
adventures 1
after 2
against 1
all 1
alliance 1
allowed 1
also 1
an 4
and 12
any 1
appease 1
approaches 1
are 4
areas 1
around 1
arrived 1
as 1
astral 1
at 1
attack 1
attacks 1
battling 1
below 1
between 2
bottom 1
bugbears 1
but 2
by 3
capital 1
cavecastle 1
cavern 1
caves 1
chance 1
characters 3
city 1
clutch 1
come 1
containing 1
continuing 1
convince 1
creatures 1
cross 1
customs 1
d1 1
d2 1
d3 1
deep 2
depths 2
descent 2
discover 1
discovered 1
dm 1
drow 18
dungeon 2
each 1
earth 3
eclavdra 1
encounters 1
enough 1
erelheicinlu 2
even 1
eventually 1
evil 2
extensive 1
fane 1
fashion 1
fear 1
feared 1
fee 1
fight 3
find 1
fire 1
first 1
flayers 1
fled 1
for 3
free 1
frequent 1
fungi 1
gate 1
giant 2
giants 1
given 1
gives 1
giving 1
gnomes 1
grand 1
gseries 1
had 1
hall 1
halted 1
has 1
hate 1
hated 1
have 4
help 1
helps 1
home 1
hostile 1
humans 1
if 2
in 7
incursion 1
inside 1
instigated 1
intelligent 1
into 6
is 4
journey 1
just 1
king 2
kuotoa 7
kuotoan 1
large 1
last 1
leading 3
league 2
learns 1
lich 1
local 1
lolth 1
long 1
major 1
master 1
may 1
mind 1
minicampaigns 1
module 2
modules 1
monitor 1
moves 1
neighboring 1
next 1
not 1
number 1
of 24
on 4
openended 1
openly 2
or 2
original 1
other 3
overview 1
party 12
pass 1
passages 1
patrol 2
pcs 4
peoples 1
picks 1
place 2
plane 1
player 2
players 1
plot 1
power 1
preceding 1
priestess 1
priestprince 1
prisoner 1
purple 1
purpose 1
pursue 1
q1 1
races 2
raiding 1
reason 1
rein 1
respect 1
resulting 1
river 1
rogue 1
ruled 1
script 1
seek 1
set 1
shrine 2
side 1
signs 1
skirmishes 1
slug 1
snurre 1
soldiers 1
sphinxes 1
spidergoddess 1
stronghold 1
structure 1
subterranean 2
supposed 1
survived 1
svirfneblin 1
taking 1
territory 1
that 3
the 70
their 6
them 4
then 1
these 1
they 1
this 1
though 1
through 4
to 9
torture 1
tough 1
trade 1
trail 1
traveling 2
travels 1
troglodytes 1
trolls 1
tunnels 2
two 1
undead 1
underdark 2
underground 2
up 1
upon 1
vaguulgh 1
various 1
vast 1
vault 1
very 1
were 1
wererats 1
who 2
will 2
with 3
world 1
worms 1
written 1
wyverns 1
