8250831
/m/026xv39
/m/026xv39
Edward Bloor
1997
1 2
2012 2
2134 1
22 1
a 21
about 2
after 2
all 4
along 1
also 2
an 3
and 23
angry 1
are 4
arms 1
arthur 5
as 1
at 8
attacking 1
attempting 1
award 1
back 5
bags 1
be 1
beat 1
because 6
become 1
begin 1
behind 1
believed 1
blackjack 1
bloor 1
blue 1
book 1
boy 1
brother 3
bruised 1
but 4
called 2
can 1
cant 1
chance 1
changed 1
childhood 1
chooses 1
citris 1
coach 3
collapses 1
come 1
comment 1
confront 1
convinces 1
costello 2
county 2
couple 1
cowardly 1
d 1
dad 1
damaged 1
dawn 1
day 2
days 2
dead 1
developing 1
development 1
discovers 1
distracts 1
doen 1
doesnt 1
down 1
downs 1
earlier 1
eclipse 1
education 1
edward 1
emergency 1
ends 1
erik 13
escape 1
except 1
expelled 1
extra 1
eyes 2
families 1
family 1
farm 1
fell 1
few 1
filed 1
filled 1
finally 1
finds 2
fine 1
first 1
fisher 1
flashback 1
florida 1
football 4
for 12
fortunately 1
found 1
friend 1
friends 2
from 4
front 1
game 1
gas 1
get 3
gets 1
gives 1
go 2
goalie 1
goes 2
golden 1
good 1
gym 1
has 2
have 2
he 14
head 1
held 2
henry 1
high 1
him 6
his 20
hit 1
house 3
houses 3
houston 1
how 1
iep 2
impaired 1
impairment 1
in 13
including 2
individualized 1
injured 1
into 1
introduced 3
is 14
it 4
jail 1
joey 6
kick 1
kids 1
kill 1
killing 1
kind 1
knows 2
lake 3
later 2
learn 1
learns 1
leaving 1
like 1
little 1
luis 5
made 1
make 1
making 1
many 3
masks 1
meets 1
middle 5
mike 1
mom 3
move 1
ms 1
murder 1
murders82134 1
neighborhood 2
never 1
new 4
night 2
no 1
none 1
novel 1
november 2
of 15
old 1
on 7
one 2
only 1
open 1
or 1
other 2
others 1
out 3
paint 1
painting 1
parent 1
parents 2
paul 21
people 3
plan 2
play 1
player 2
players 1
point 1
poison 1
practice 1
proceeds 1
project 1
punches 1
put 1
real 1
relocation 1
remember 1
rescue 1
robbed 1
robbery 1
route 1
runs 1
says 1
school 15
seasons 1
seem 1
seniors 1
sent 1
seriously 1
show 1
sick 1
side 1
signaling 1
sinkhole 1
so 2
soccer 6
solar 1
spray 2
sprayed 2
stared 1
starts 2
stay 2
steals 1
stole 1
storage 1
story 4
summary 1
suspect 1
suspects 1
talk 1
tangerine 6
team 3
tell 1
tented 1
tents 2
termites 1
texas 1
that 6
the 30
their 1
them 1
there 1
theresa 3
these 1
they 2
thinks 1
throughout 1
tino 4
tms 1
to 22
told 1
too 1
touch 1
tour 1
trapped 1
tree 1
tries 1
trouble 1
truth 1
try 1
two 1
under 2
unit 1
unpack 1
up 4
utc0 1
utc7270104124 1
valuables 1
victor 2
vincent 2
vision 3
wall 1
walski 1
was 1
went 1
when 1
while 6
who 3
whom 1
will 1
windsor 3
with 7
working 1
works 1
you 1
