17448792
/m/0466msv
/m/0466msv
Catherine Jinks
2008
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
5 1
a 10
about 2
address 1
adopted 1
adult 1
after 3
agree 1
agrees 2
air 1
airport 1
all 1
also 3
american 2
an 3
and 19
another 1
arrest 1
arrives 1
as 1
at 2
attempt 1
attempts 2
austin 1
avoid 1
away 2
axis 1
be 3
begins 1
being 1
believes 1
belongings 1
best 1
body 1
book 1
born 2
bringing 1
brother 1
bullying 1
but 2
by 6
cadel 18
cadels 2
case 1
cerebral 1
chance 1
charge 1
chester 2
com 1
company 1
computer 1
conflict 1
confrontation 1
confronted 1
constantly 1
contact 2
convince 1
corporation 2
country 1
cramp 1
crimes 1
currey 1
darkkon 3
deceit 1
despite 1
detective 1
devin 1
disguised 1
dotthe 1
down 3
dr 1
due 2
during 2
either 1
english 2
even 2
events 1
evil 2
fails 1
father 3
fbi 1
finally 1
finding 1
finds 3
fiona 4
flees 1
for 7
formed 1
foster 3
founded 1
fountain 1
frame 1
from 3
funded 1
gazo 1
genius 11
genome 3
get 1
gets 1
getting 1
go 1
greniaus 1
group 1
guardsthey 1
happened 1
has 1
have 1
he 10
heated 1
help 2
here 1
him 7
his 11
home 2
house 2
however 1
idling 1
immediately 1
implants 1
in 4
initial 1
initially 1
institute 1
intentions 1
introduced 1
is 11
isnt 1
jail 2
join 2
judith 2
judithtrader 1
just 1
kidnap 1
kids 1
knowing 1
knows 1
kovacs 1
leads 1
learn 1
leave 1
legal 2
let 1
lexithe 1
lied 1
life 1
limbo 1
live 1
living 1
long 1
mace 4
made 2
manages 2
married 1
may 1
meets 1
members 1
might 1
millionaire 1
months 1
move 1
moves 1
murdered 1
name 1
no 1
not 1
notice 1
now 2
object 1
occasionally 1
of 13
officers 1
on 5
once 1
one 1
or 2
organisation 1
other 2
out 1
parentsin 1
particularly 1
paternity 1
pharmeceuticals 1
plan 1
planting 1
point 1
police 1
policeand 1
primose 1
private 1
prosper 7
puts 1
question 1
questionable 1
questionings 1
real 2
really 1
reasoning 1
relent 1
rest 1
rex 1
roughly 1
runs 1
saul 7
save 1
school 1
second 1
show 1
sinister 1
sister 1
sitting 1
so 1
social 1
son 1
sonja 4
spends 1
spring 1
squad 10
staff 1
state 1
status 1
stolen 1
strip 1
style 1
suspects 1
suspicions 1
take 1
taken 1
tests 1
that 6
the 16
theft 1
their 2
these 1
they 4
this 3
thomas 1
though 2
thought 1
time 3
to 27
trader 1
true 1
trying 1
turn 1
twinshamish 1
ultimately 1
unaware 1
uncover 1
unfortunately 1
up 1
upset 1
various 1
very 1
visit 1
visiting 1
was 3
watch 1
web 1
what 1
where 2
which 2
while 2
who 4
with 6
worker 1
working 2
works 1
worse 1
youth 2
