1476686
/m/025rw4c
/m/025rw4c
Fletcher Pratt
1950
a 9
accompanied 1
accord 1
achieve 1
adventure 1
after 2
all 1
alone 1
also 2
ambitions 1
and 15
another 1
are 4
ariosto 2
around 1
as 4
aside 1
aspiring 1
assistance 1
at 4
atlants 2
attempting 1
authorities 1
away 2
based 1
bayard 3
be 1
become 1
been 2
before 1
believes 1
belphagor 1
belphebe 5
beyond 1
brodsky 3
but 2
by 2
carena 1
carolingian 1
castle 1
chalmer 1
chalmers 2
charlemagne 1
coleridge 1
colleagues 2
come 1
conflict 1
confused 1
de 1
decide 1
delicate 1
disappears 1
earthly 1
edmund 1
empire 1
end 1
epic 2
erroneously 1
events 1
existence 1
extradimensional 1
faerie 3
find 1
first 1
florimel 2
for 6
former 1
foul 1
frankish 1
from 2
furioso 3
further 1
garaden 2
getting 2
goal 1
group 1
guest 1
had 4
happily 1
harold 1
has 1
have 3
he 3
head 1
her 2
herself 1
himself 1
his 6
human 1
husband 1
in 11
including 1
institute 2
international 1
interrogation 1
into 4
iron 1
is 6
it 1
khan 1
kubla 1
lady 2
languished 1
last 1
later 1
latter 1
leaving 1
legend 1
longer 1
love 2
ludovico 1
made 1
magic 1
magically 1
magician 1
manage 1
married 1
marvelous 1
mathematics 1
midst 1
mind 1
misplaced 1
moorish 1
moreover 1
mundane 1
must 1
native 1
nearly 1
negotiate 1
no 1
northern 1
now 2
of 16
officer 2
on 2
orlando 1
out 1
own 1
paladins 1
person 2
pete 1
picnic 1
play 1
plight 1
plunged 1
poem 1
point 1
polacek 3
police 3
politics 1
previous 1
prototype 1
pulled 2
queen 1
question 1
questioned 1
real 1
recognizing 1
reed 1
represented 1
rescue 1
responsible 1
restore 1
result 1
retrieve 1
reverting 1
right 1
samuel 1
sanity 1
seek 1
setting 1
settled 1
she 1
shea 7
simulacrum 1
snow 1
somehow 1
source 1
spain 2
spenser 1
spirited 1
still 1
stranded 1
subject 1
survive 1
suspicion 1
take 1
tales 1
tasks 1
taylor 1
text 1
that 8
the 29
their 2
them 1
themselves 1
then 2
there 2
they 3
things 1
this 2
those 1
though 1
three 2
through 1
time 1
tiptoe 1
to 11
too 1
transforming 1
travelers 1
treacherous 1
turns 1
vaclav 1
wake 1
walter 1
was 3
way 1
well 1
where 1
which 3
who 1
whole 1
with 2
wizard 1
work 1
world 5
xanadu 2
