25496797
/m/0bmkdyf
/m/0bmkdyf
Richelle Mead
2010-05-18
{"/m/02vzzv": "Urban fantasy", "/m/03mfnf": "Young adult literature", "/m/04n87l": "Dark fantasy", "/m/01qxvh": "Romance novel", "/m/072lff": "Paranormal romance"}
a 15
abe 1
abilities 2
able 1
about 1
adrian 3
after 1
agrees 1
all 1
almost 1
ambrose 1
an 1
and 22
announce 1
any 1
approaching 1
are 5
arrival 1
as 4
assigned 1
at 3
attacked 1
away 1
bait 1
bars 1
be 3
been 1
before 1
behind 1
best 1
bite 1
biting 1
book 1
both 1
break 1
breakfast 1
bribed 1
bridge 2
bringing 1
brother 1
but 3
by 6
calms 1
cards 1
christian 2
come 2
comfort 1
compulsion 1
continued 1
could 1
council 1
court 1
credit 1
crushed 1
custody 1
cutting 2
dashkov 1
death 1
decided 2
delivers 1
dhampir 1
dimitri 8
discussion 1
disguising 1
do 2
down 1
dragomir 1
each 1
eddie 2
effectively 1
eliminate 1
encircles 1
end 1
endangering 1
endeavors 1
enough 1
ensuing 1
escape 1
escapes 1
exams 1
face 1
feeders 1
fights 2
final 1
fire 1
focused 1
follows 1
for 8
found 1
from 4
get 1
going 1
good 1
group 2
guardians 4
guilt 1
guilty 1
has 2
have 5
having 1
he 6
heard 1
hearing 2
heavily 1
help 1
her 13
hesitates 1
hiding 1
high 1
him 7
his 3
hope 1
if 1
impending 1
in 5
infuse 1
instead 1
instinctively 1
into 2
is 9
it 2
its 1
kidnapped 1
kill 3
killing 1
knew 1
knows 1
labor 1
las 1
last 1
lead 1
leads 1
lettersdeath 1
lissa 8
living 1
longer 1
love 2
manage 1
marks 1
message 1
middle 1
moment 2
morning 1
moroi 1
move 1
movement 1
murdered 1
must 2
necessary 1
neck 1
needs 1
neither 1
network 1
new 1
next 1
no 1
not 1
note 1
nothing 1
occupied 1
of 8
off 1
offers 1
official 1
on 7
once 1
opponents 1
original 1
other 2
out 1
over 1
own 1
pass 1
passes 1
physical 1
place 1
pleased 1
plots 1
prison 1
protect 1
protection 1
punished 1
pushes 1
queen 1
quorum 1
reading 1
reclusive 1
relayed 1
relying 1
resolves 1
restored 1
returned 1
ring 1
robert 2
romantic 1
rose 15
rumored 1
run 1
saying 2
second 1
security 1
sees 1
sent 1
sentenced 1
series 1
set 1
sex 1
she 7
short 1
sides 1
so 1
spirit 3
stake 2
stakes 1
start 1
starts 1
state 1
stay 1
stays 1
strigoi 4
successfully 1
such 1
surround 1
swinging 1
taken 1
tatiana 2
teachers 1
tells 1
test 1
that 7
the 19
their 2
them 7
themselves 1
then 1
there 2
they 7
threat 1
threats 1
time 1
to 30
tracks 1
trapped 1
traumatized 1
travel 1
trial 1
turns 1
upon 1
user 2
vampire 1
vegas 1
very 2
victor 2
voice 1
wait 1
was 2
way 2
when 2
where 1
which 1
while 4
who 3
will 2
with 9
