1552926
/m/059vbw
/m/059vbw
Leo Tolstoy
1911

a 3
accused 1
again 2
alive 1
always 1
and 2
arranging 1
as 1
away 2
be 1
belief 1
between 1
bigamy 1
but 2
by 1
central 1
character 1
charged 1
chosen 1
continues 1
conventional 1
court 1
dead 1
declares 1
descent 1
disappearance 1
disapproval 1
discovered 1
doesnt 1
either 1
exiled 1
facing 1
falls 1
fedor 1
first 1
for 1
from 2
give 1
gypsies 1
gypsy 1
had 1
hand 1
has 2
have 1
he 6
her 3
him 2
himself 3
his 6
however 1
husband 2
hysterically 1
in 2
into 1
is 4
it 1
judge 1
karenin 1
kill 2
knowing 1
lacks 1
life 2
liza 1
loved 1
man 1
married 1
masha 2
meanwhile 1
more 1
must 1
nerve 2
never 1
new 1
no 1
of 3
or 1
other 1
parents 1
play 1
presuming 1
protasov 4
really 1
relationship 1
rival 1
rules 1
running 1
runs 1
sexual 1
she 3
shoots 1
shows 1
siberia 1
singer 1
testify 1
that 5
the 8
this 1
to 4
tormented 1
up 2
victor 1
wants 2
was 1
way 1
well 1
when 2
whom 1
wife 4
with 3
