1954364
/m/068n06
/m/068n06
Stephen Hunter
1995-11
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
30s 1
a 37
ability 2
about 5
across 1
affair 2
after 6
again 2
against 2
aggressive 1
alarm 1
alcoholic 1
alive 1
all 1
along 1
alpha 1
also 3
ambush 1
ambushed 1
ambushes 1
among 2
amused 1
an 4
and 33
antagonist 1
are 2
armed 1
arrive 1
art 1
artist 3
as 16
assault 1
at 9
avoid 1
away 1
back 2
backup 1
badly 1
be 2
been 5
begin 2
begins 1
behemoth 1
being 6
beth 1
between 2
bird 1
black 2
blasting 1
bloodshed 1
bloody 2
both 1
boys 3
breaking 1
breaks 1
briefed 1
brunt 1
brutal 2
bud 13
build 1
bullet 4
but 7
by 17
c 1
called 2
capacity 1
carry 2
carrying 1
caves 1
cell 1
certain 1
charismatic 1
chasing 1
chief 1
choices 1
committed 1
community 1
confirms 1
conflicting 1
confrontation 3
confused 2
connection 1
continue 1
convicts 1
convince 1
couple 1
couples 1
cousin 3
creek 1
crime 2
crimes 1
criminal 1
criminals 1
d 1
damage 1
dead 2
death 1
decides 1
deflected 1
demands 1
deperately 1
design 1
desperate 1
dies 1
dirty 2
discussing 1
does 1
door 1
doubts 1
draw 1
drawings 1
drawn 2
drop 1
drops 1
earl 1
earlier 1
effort 1
element 1
embittered 1
emerges 2
ends 1
enforcement 1
enough 1
ensues 1
ensuing 1
escape 3
escaped 1
escapes 2
executes 1
explain 1
face 1
fact 1
failed 1
fails 2
family 4
farmhouse 2
father 1
fear 1
feared 1
fields 1
fight 2
final 3
find 1
finding 1
finds 3
fingers 1
finishes 1
fire 2
firefight 1
firing 2
first 3
flee 1
for 17
form 1
forms 1
from 5
front 1
frustrations 1
gang 3
giant 1
given 1
glass 1
going 1
gone 1
group 1
gruesome 1
gun 5
gunfight 1
guns 1
hand 1
handtohand 1
has 2
have 1
having 4
he 13
head 2
help 1
helpless 1
henderson 6
her 2
hideously 1
him 4
himself 2
his 26
hits 1
holly 4
hot 1
house 4
hunting 1
if 1
ill 1
immediately 1
imprisoned 1
in 15
information 1
injured 2
inmate 2
inmates 1
intelligent 1
intended 1
intensifies 1
intervention 1
into 1
intrigued 1
introduced 1
investigators 1
is 22
it 3
its 1
jimmy 2
just 1
justarrived 1
juvenile 1
kidnapped 1
killing 1
know 1
knowing 1
ky 2
lamar 34
last 2
late 1
later 1
law 1
leads 2
leaving 1
left 2
letters 1
lieutenant 1
life 2
lightweight 1
link 1
lions 2
literally 1
lives 1
local 1
loses 1
lt 1
mac 2
made 1
main 2
male 1
man 2
manages 1
manhunt 1
mate 1
mcalester 1
medics 1
member 1
men 2
mentally 1
miss 1
momentum 1
more 1
mother 1
moves 1
murdered 1
mystic 1
narrowly 1
near 1
newfound 1
not 2
novel 1
now 2
obtains 1
odell 3
of 27
off 1
officer 1
officers 1
old 2
on 4
once 3
one 1
opening 1
or 1
ordered 1
orders 1
other 2
others 1
out 3
outside 1
over 1
overlooked 1
own 1
owner 1
parents 1
participate 1
partner 4
passenger 1
patch 2
peed 1
penitentiary 1
perceived 1
perform 1
pewtie 18
physically 2
pictures 4
plots 1
policemen 2
population 1
powerful 1
previous 1
prince 1
prison 2
prisoner 2
protagonist 1
pye 2
pyes 3
quality 1
questioned 1
quickly 1
quietly 1
raised 1
ranking 1
rape 1
raped 1
recovered 1
refuge 1
remains 1
remote 2
responds 1
responsible 2
rest 1
restaurant 2
rests 1
retarded 1
returns 2
reveals 1
revenge 3
richard 13
rifle 1
robbery 2
role 1
romance 1
running 1
runs 1
ruta 3
scene 3
search 5
second 1
seems 2
sees 2
set 2
sets 1
settled 1
severely 2
shield 1
shoot 3
shootout 1
shot 6
should 1
showers 1
slight 1
small 2
sold 1
some 1
springs 1
stage 2
star 1
state 2
still 1
stronger 1
struggle 1
struggles 1
stumbles 1
subordinate 1
sure 1
survived 1
survives 1
suspect 1
suspicious 1
swagger 1
swat 1
taken 1
takes 2
taking 1
talk 1
target 1
tattoo 3
tattooed 1
teacher 1
teams 1
ted 1
teenage 1
telling 1
terrible 1
texas 1
thank 1
that 7
the 82
their 4
them 1
themselves 1
there 1
they 3
this 1
though 1
three 1
through 2
timid 1
to 34
tone 1
took 1
top 1
towards 2
town 2
transferred 1
trees 2
trooper 2
troopers 2
trying 1
tull 3
twice 1
twisted 1
two 3
unarticulated 1
under 2
unit 1
unknowingly 1
unrestrained 1
unseen 1
uses 2
using 2
value 1
victim 1
violence 3
was 5
watched 1
watches 1
well 1
where 4
which 4
while 1
white 4
who 5
wife 2
win 1
window 1
with 16
wits 1
woman 1
work 1
working 2
wound 1
wounded 1
wounds 1
writing 1
yet 1
young 3
