19902738
/m/04q9qdx
/m/04q9qdx
Amitav Ghosh
2008-10-14
a 17
acceptable 1
addict 1
admirable 1
after 2
ah 2
ali 2
almost 1
along 1
also 4
american 2
an 5
ancestral 1
and 19
arduous 1
are 1
article 1
as 8
at 6
attention 1
authorities 1
away 1
back 1
be 1
because 1
become 1
becomes 3
been 2
begins 1
behaved 1
bengali 1
better 1
bloodshed 1
board 1
boards 1
book 1
born 1
botanist 1
both 1
brother 1
brotherinlaw 2
brought 1
burnham 5
burnhams 1
but 4
by 5
canton 1
care 1
caring 1
carry 2
carrying 1
centuries 1
certain 1
childbirth 2
childhood 2
china 1
chinese 1
chooses 1
clear 1
close 1
clothing 1
come 1
comes 1
command 1
companion 1
confronted 1
consummate 1
could 1
couple 1
court 1
crippled 1
cronies 1
dark 1
daughter 1
deal 1
death 2
debt 1
deeti 6
dependents 1
destination 1
destiny 1
destitution 1
determined 1
did 1
die 1
died 1
dies 1
dinner 1
disguises 1
disturbing 1
doom 1
drawn 1
drugged 1
dynasty 1
each 1
ease 1
easily 1
eccentric 1
efficient 1
elderly 1
escape 2
estates 1
eventually 1
factory 1
familys 1
father 4
fatt 2
features 1
feel 1
fellow 1
figures 1
finding 1
flee 1
fluent 1
following 1
food 1
for 5
forgery 1
french 1
friend 2
from 2
funeral 1
future 1
get 1
ghazipur 1
go 1
greataunt 1
growing 1
grown 1
had 2
halder 2
halders 1
halfchinese 1
halfparsi 1
happens 1
happiness 1
has 8
he 10
head 1
height 1
her 20
herself 1
him 6
his 13
home 1
hope 1
hopes 1
hours 1
household 1
housewife 1
hukam 1
husband 3
ibis 6
immolation 1
in 19
incurred 1
indentured 3
india 2
indian 2
infertile 1
inlaws 1
instantly 1
instead 1
into 1
is 10
island 1
it 7
its 1
jodu 5
journey 1
joys 1
justice 1
kabutri 2
kalua 3
kendalbushe 1
kind 1
labour 1
labourer 1
lady 1
lascars 1
learned 1
left 1
less 1
lifetime 1
living 1
load 1
loan 1
looks 1
lot 1
made 1
maintains 1
man 1
manage 1
manners 1
many 1
mareech 1
marriage 1
married 2
mauritius 3
mean 1
meet 1
meets 1
merge 1
met 1
money 1
more 2
mother 7
motherinlaw 1
mr 4
mrs 1
much 1
need 1
neel 2
neighbouring 1
never 1
night 1
no 2
not 1
now 1
of 17
off 1
on 7
ones 1
opium 7
or 2
orchestrated 1
order 2
orphan 1
out 1
ox 1
paulette 7
pay 1
pious 1
place 1
prison 1
private 1
property 1
proposes 1
proximity 1
punishes 1
pyre 1
rajah 1
rakshali 1
rattan 1
real 1
receives 1
refitted 1
refueses 1
reid 2
rejoicing 1
relatives 1
rescue 1
resistance 1
resolved 1
result 1
ritual 1
ruling 1
run 1
sailor 2
sati 1
schooner 1
sea 1
second 1
seen 1
sell 1
selling 1
sends 1
sentencing 1
serang 2
servants 1
settle 1
seven 1
sham 1
share 1
she 8
shelter 1
ship 1
shown 1
simple 1
since 2
singh 1
slave 1
so 1
sole 1
sorrows 1
standstill 1
started 1
stay 1
stern 1
stories 1
story 1
strife 1
support 1
supporting 1
take 1
than 3
that 5
the 47
their 2
them 1
then 2
this 2
those 1
through 1
to 28
together 1
tradable 1
trade 2
trading 1
transported 1
travel 1
trial 1
tried 1
trying 1
turning 1
two 1
unaware 2
under 1
unfortunate 1
unite 1
up 3
upbringing 1
using 1
vessel 1
village 1
villagers 1
was 4
waves 1
way 1
wealthy 1
wedding 1
western 1
when 5
which 1
white 1
who 1
whose 1
will 2
with 15
woman 1
work 1
worker 1
would 1
years 1
zachary 2
zamindary 3
zemindary 1
