380143
/m/021h0t
/m/021h0t
Anna Sewell
1877-11-24
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
6day 1
7day 1
a 4
abolished 1
after 1
allowed 2
along 1
among 1
an 3
and 7
as 2
autobiographical 1
beauty 1
beautybeginning 1
behaviour 1
between 1
black 2
book 2
by 2
cabs 1
carefree 1
caused 1
chapter 1
colt 1
conditions 1
containing 1
country 1
cruelty 1
days 1
deal 1
describes 1
descriptions 1
detailed 1
difference 1
difficult 1
drivers 1
each 1
editions 1
english 1
extensive 1
fares 1
farm 1
fee 1
fees 1
financial 1
first 1
fixed 1
footnote 1
good 1
happy 1
hardship 1
hardships 1
he 1
high 1
his 4
horse 2
horsedrawn 1
horses 1
in 5
incident 1
including 1
is 1
kindness 2
legally 1
lending 1
lesson 1
licence 2
licences 2
life 2
london 2
low 1
many 2
meets 1
memoir 1
moral 1
mother 1
much 1
named 1
narrated 1
not 1
novel 1
observations 1
of 4
on 3
or 1
page 1
person 1
published 1
pulling 1
recounts 2
reduced 1
related 1
retirement 1
says 1
sewell 1
short 1
some 1
soon 1
story 1
sundays 2
sympathy 1
tales 1
taxicab 4
that 1
the 12
them 1
titular 1
to 6
told 1
trade 2
treatment 1
typically 1
understanding 1
verisimilitude 1
was 3
way 1
with 4
