12933288
/m/02z0fym
/m/02z0fym
Gary Jennings
1987
1281 1
187 1
a 6
accepts 1
acts 1
also 1
america 1
an 1
ancient 1
and 2
appomattox 1
as 2
at 1
book 2
both 2
by 2
chronicles 1
circus 3
colonel 1
confederate 2
core 1
delving 1
details 1
director 1
during 2
edge 3
embittered 1
ending 1
equestrian 1
europe 2
evolving 1
examination 1
few 1
florian 1
florilegium 3
flourishing 1
follows 1
form 1
former 1
france 1
francoprussian 1
from 2
gary 1
glittering 1
historical 1
in 5
into 1
is 3
it 1
its 1
itself 1
jennings 1
known 1
lives 1
main 1
monarchy 1
mud 1
novel 1
of 10
other 1
parallel 1
paris 1
performers 1
period 1
personal 2
plot 1
position 1
postcivil 1
professional 1
protagonist 1
published 1
ranks 1
rise 3
show 1
small 1
social 1
spangle 1
structures 1
surrender 1
system 1
than 1
the 19
to 3
toast 1
toppling 1
trials 1
troupe 2
war 3
was 1
which 2
while 1
who 1
with 1
wonders 1
written 1
zachary 1
