5332765
/m/0dg13p
/m/0dg13p
Margaret Haddix
2003-06
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
able 1
accident 1
adjust 1
adopted 1
after 1
again 1
aka 1
among 1
amount 1
an 2
and 17
answers 1
anything 2
are 3
as 3
assassinate 1
at 7
attempts 1
back 2
baron 1
been 1
bn 2
bodyguard 2
book 1
both 1
boys 1
brave 1
brother 2
but 1
by 7
came 1
can 1
caught 1
cause 1
celebrated 1
chandelier 1
change 1
changes 1
child 1
completely 1
complicated 1
danger 1
death 3
decide 1
desires 1
did 1
didnt 1
died 1
different 1
discovers 1
do 1
documents 1
donated 1
dropping 1
ends 1
escape 1
especially 1
even 1
express 1
fake 2
faking 1
falling 1
family 5
feels 1
few 1
fire 2
for 3
fourth 1
friends 1
from 1
furthermore 1
garner 1
get 1
gia 1
goodard 2
grabs 1
grant 4
grants 2
grief 1
had 2
has 2
have 1
having 1
he 13
hendricks 1
hiding 2
his 7
home 1
house 3
idea 1
ids 1
illegal 1
important 1
in 8
incredible 1
into 1
is 8
joel 1
john 1
killed 1
labeled 2
leaves 1
leaving 1
lee 8
lies 1
life 1
location 1
luke 16
made 1
managed 1
member 1
more 1
mr 1
much 1
name 3
never 1
new 2
nina 1
no 2
of 11
off 2
on 1
once 1
one 1
oscar 2
other 1
out 1
over 1
parents 1
party 2
peter 1
picture 2
president 2
prominent 1
prove 1
questions 1
real 3
return 1
rid 1
right 1
room 2
safety 1
saved 1
school 3
search 1
seeking 1
selfishly 1
send 2
sent 1
services 1
sets 1
ski 1
smit 1
smithfield 1
smits 13
some 2
something 1
son 2
soon 1
sort 1
spent 1
stanley 1
started 1
stays 1
stories 1
t 1
talbot 1
tells 1
that 3
the 23
their 2
then 2
they 1
things 1
thinks 1
third 1
this 1
though 1
time 1
times 1
to 9
together 1
trey 3
troubled 1
trust 1
two 1
unanswered 1
unprotected 1
up 1
use 1
vi 1
visit 1
wants 1
war 1
was 2
web 1
welcomed 1
when 4
where 1
which 2
who 4
will 2
with 5
world 1
wydell 1
