3345384
/m/096xmy
/m/096xmy
Jane Austen
1814-07
10 1
12 1
16 1
7 1
a 29
aback 1
about 3
abruptly 1
accepted 1
accepts 1
actually 1
adulterous 1
adultery 2
advantageous 1
affair 2
affection 3
affections 1
after 4
afterward 1
age 2
agrees 1
ahead 2
all 3
almost 1
alone 1
along 1
also 3
although 5
always 1
amuse 1
an 7
ancestral 1
and 61
anhalt 1
another 1
antigua 2
apart 1
appearance 1
appropriate 1
approval 1
are 5
arrival 1
arrive 1
arrives 2
as 5
at 8
attachment 2
attention 2
attitude 1
attraction 1
attractive 1
aunt 4
away 1
banished 1
baronet 1
be 4
because 3
become 1
becomes 2
been 2
befriend 1
begin 1
begins 2
believes 1
believing 2
bertram 8
besides 1
best 1
better 1
between 1
bit 1
blinded 1
bond 1
born 1
both 2
briefly 1
brighton 1
bring 1
brother 2
business 1
but 3
by 9
cannot 1
changed 1
character 3
child 1
clergyman 1
close 1
comes 1
comforts 1
command 1
company 1
compromising 1
concern 1
condemn 1
confident 1
connections 1
constant 1
continues 1
contrast 1
conversation 1
convince 1
cottage 1
country 1
course 1
cousins 1
covering 1
crawford 6
crawfords 1
creature 1
crisis 1
crushed 1
cynical 1
daughter 2
deal 1
decide 1
decides 1
declares 1
deliberately 1
despairing 1
despite 1
devastated 1
develops 1
disapprove 1
disapproves 1
discovered 1
discovers 1
disengagement 1
dismayed 1
dismissively 1
disposition 1
disrupts 1
dissolute 1
distantly 1
divorce 1
does 2
dr 1
driving 1
during 2
each 1
edmund 17
effective 1
eldest 1
elizabeth 1
eloped 1
else 1
emotional 1
emptyheaded 1
enchanted 1
encouraged 1
encourages 1
endear 1
engagement 1
entanglements 1
enveloped 1
environment 1
essentially 1
estate 1
eventually 2
ever 1
evermore 1
expected 1
experience 1
exposed 1
extremely 1
fall 1
falling 1
falls 1
family 6
fanny 31
fashionable 1
father 3
favorite 1
fearing 1
fears 1
feed 1
feeling 1
feels 3
female 1
few 1
finding 1
fine 1
firm 3
first 1
flaws 1
flighty 1
flirt 1
flirtation 1
followed 1
for 16
form 1
four 1
frances 1
frequently 1
friend 2
from 3
further 1
gambler 1
gentle 1
gets 1
getting 1
girl 2
giving 1
goes 3
gone 1
goodnatured 1
grant 2
grateful 1
gratitude 1
great 1
grows 3
had 5
halfsister 1
hand 1
has 11
have 1
he 11
heir 1
help 1
henry 16
her 42
herself 1
higher 1
highly 1
him 12
himself 1
his 19
home 3
hopes 1
hoping 1
how 1
however 3
husband 3
idolized 1
if 2
ill 1
illness 1
implies 1
important 1
improved 1
in 17
inchbald 1
includes 1
income 1
indolent 1
ingratitude 1
initially 1
into 4
introducing 1
irresponsible 1
is 31
it 6
jealousy 1
joined 1
joy 1
joyfully 1
julia 7
keep 1
kindness 1
knows 1
lack 2
lady 2
large 1
learns 1
leave 2
leaves 3
left 1
less 1
lieut 1
lieutenant 1
life 1
like 1
likes 1
limited 1
live 3
lived 1
lively 1
local 1
lock 1
london 1
love 11
lover 1
lovers 1
loves 1
main 2
maintains 1
make 1
making 1
man 2
mansfield 11
many 1
maria 16
marriage 3
married 1
marries 1
marry 2
mary 13
mask 1
match 1
maternal 1
matter 1
matters 1
may 1
meanspirited 1
meanwhile 3
meeting 1
met 1
middle 1
midst 1
minister 1
mistress 1
moral 1
most 1
mother 1
mouths 1
move 1
moves 2
moving 1
mr 8
mrs 5
much 1
mutual 1
national 1
naturally 1
nature 1
naval 1
navy 1
neither 1
niece 1
nieces 1
no 1
nobody 1
nor 1
norris 5
not 4
now 2
object 1
observant 1
of 30
off 2
offer 1
offers 1
officious 1
often 1
older 2
on 11
only 3
opportunity 1
ordained 1
original 1
other 2
out 4
over 2
own 2
parents 1
park 8
parson 1
parsonage 3
part 1
partially 1
particularly 2
party 1
patriarch 1
paying 1
people 1
persevere 1
plans 1
plantation 1
play 3
played 1
plays 1
please 1
plenty 1
point 1
poor 3
portsmouth 2
preference 1
presence 1
pretext 1
previously 1
price 2
principle 1
problems 1
proposal 2
propose 1
proposes 1
proud 1
provides 1
provoking 1
public 1
put 1
raise 1
raised 1
rank 1
rather 1
real 1
realising 1
realize 1
realizes 1
recovers 1
refusal 1
refuses 1
regards 1
rehearsal 1
reject 1
rejects 1
rekindled 1
relation 1
relatively 1
relatives 1
reluctantly 1
relying 1
repentant 1
reproaches 1
respects 1
responsible 1
return 1
returns 3
revealed 1
rich 2
right 1
role 1
romantic 2
running 1
rushworth 5
scandal 2
scope 1
second 2
secretly 2
seem 1
sees 1
send 1
sends 2
senses 1
series 1
set 1
