413120
/m/025c53
/m/025c53

1882
{"/m/06bvp": "Religion"}
24000 1
3000 1
4700000 1
72000 2
78000 1
a 8
ability 1
accordance 1
according 3
accounts 2
adherence 1
adherents 1
administration 2
advanced 1
ages 1
ago 2
all 2
alleged 1
also 7
an 6
ancient 3
and 42
angel 1
angels 1
apollo 1
appearance 1
applying 1
approximately 2
archeology 1
are 8
as 9
ascending 1
average 1
basis 1
be 3
beast 1
beginnings 1
behavior 1
being 1
beings 1
believers 1
book 10
books 4
but 2
called 3
calls 1
can 2
causes 1
ceremonies 2
chief 2
chiefs 1
chieftainesses 1
chronologicallyordered 1
circuit 1
civilizations 1
claimed 1
comet 1
commune 1
concept 1
concerning 1
conditions 1
contains 2
continent 1
core 1
corporeal 1
corresponding 1
cosmogony 2
cosmological 1
cover 1
cpentaarmij 1
creator 1
creed 1
cycles 4
cyclical 1
daughter 1
daughters 1
defined 1
densities 1
density 1
describe 1
describes 1
designated 1
details 3
devotes 1
diet 1
directly 1
distances 1
divided 1
doctrinal 1
doctrines 1
dominions 1
each 2
earth 7
edifications 1
either 1
electricity 1
encounters 1
engender 1
entire 1
eskra 1
etherean 1
ethical 1
events 3
every 1
evolution 2
examples 1
exhibits 1
explains 1
explanation 1
faithism 1
fall 1
familiar 1
fertility 1
filled 1
finally 1
first 1
following 1
food 1
for 4
forces 1
formed 1
forward 1
found 1
freedom 1
from 11
gain 1
general 2
genesis 1
geology 1
given 1
gives 1
god 2
goddesses 1
gods 2
grade 1
grades 1
gravity 1
great 1
greater 1
has 2
have 3
having 1
heat 1
help 1
herbivorous 1
historical 1
history 1
how 1
human 1
humanity 1
humans 1
hundreds 1
i 2
ideology 1
idols 1
illustrations 1
in 15
include 4
includes 3
influence 1
inspiration 1
instance 1
integrating 1
interest 1
interior 1
intermediaries 1
into 1
is 4
ism 1
it 4
its 11
jehovih 4
language 4
languages 1
large 2
larger 1
largest 1
life 2
lifeforms 1
light 1
linguistics 1
living 2
loss 1
magnetism 1
major 1
many 6
maturity 1
meaning 2
meanings 1
mentioned 1
mimic 1
missing 1
mortal 1
much 1
named 1
names 1
narrative 1
nations 1
need 2
no 4
nonabrahamic 1
oahspe 16
occur 2
ocean 1
of 52
office 1
officers 1
old 1
older 1
on 5
once 2
only 2
or 10
original 1
originated 1
origins 1
other 3
others 1
overview 1
pacific 1
pacifism 1
pan 2
panic 1
peaceful 1
peoples 1
physical 2
physics 1
planet 3
planets 1
precepts 1
predict 1
presents 1
previous 1
principles 1
progress 1
progression 1
prophecy 1
provide 1
purports 1
puts 1
qualities 1
race 1
range 1
rank 1
ranks 1
rapid 1
read 1
realms 2
recent 1
record 1
regarding 2
regardless 1
regions 3
reiterated 1
related 1
religion 1
religions 3
responsibility 1
revelations 2
rise 2
rites 1
roots 1
said 1
saphah 1
saviors 1
science 1
sect 1
section 1
sections 2
separate 1
service 1
smaller 1
so 2
some 2
sons 2
sounds 1
space 1
speaks 2
spirit 1
spiritual 4
sprinkled 1
start 1
starting 1
states 2
subject 1
subjects 1
subtler 1
such 3
suffix 1
sun 1
symbols 2
teaches 1
tens 1
text 3
that 6
the 44
their 2
them 1
themes 1
themselves 1
then 1
there 1
these 3
think 1
this 2
thor 1
thousands 2
through 1
throughout 3
titles 1
to 16
traveling 1
treatment 1
two 1
under 1
understanding 1
universe 1
upon 1
upward 1
variations 1
various 3
vary 1
varying 1
vast 1
vegan 1
vegetable 1
views 1
violence 1
virtue 1
warring 1
was 2
whaga 1
what 1
which 6
who 1
whose 1
will 2
with 3
within 2
word 1
words 1
world 1
worlds 1
years 8
zarathustra 1
