6914978
/m/0gwvrs
/m/0gwvrs
Carolyn Keene
1976
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0dwly": "Children's literature"}
a 10
added 1
and 5
arrives 1
as 1
at 2
be 1
becomes 2
bess 2
cloud 1
clue 1
confronted 1
cowboy 1
deciphered 1
detective 1
down 1
elusive 1
excello 1
finally 1
finda 1
flying 1
for 1
friends 1
george 1
goes 1
handsome 1
her 1
hijacked 1
horse 3
horseback 1
hunts 1
in 3
interested 1
investigates 1
is 3
itfurnishes 1
lessons 1
lucky 1
magnetic 1
major 1
medal 1
message 1
midwest 1
missing 1
mystery 1
nancy 3
of 1
on 3
once 1
perfect 1
phantom 1
pilot 1
plane 2
pony 1
prize 1
rancher 1
readers 1
riding 1
romance 1
school 1
she 1
sky 1
sleuth 1
solution 1
spur 1
stolen 1
strange 1
surprising 1
take 1
the 8
their 1
then 1
thief 2
to 4
track 1
when 1
while 1
will 1
with 2
worthwhile 1
young 1
