457932
/m/02bws2
/m/02bws2
Batūl Khuḍayrī

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 17
adapt 1
adulthood 2
advanced 1
against 2
age 1
agrees 1
alik 1
all 3
alternates 1
although 1
alwaysneeded 1
an 4
and 23
any 1
apparently 1
approaching 1
are 6
as 4
assured 1
at 3
atmosphere 1
automata 1
backpack 1
backstory 1
be 4
because 2
been 5
beings 1
between 1
big 1
bigotry 1
body 2
both 1
boy 2
brain 1
brains 1
breaks 1
bush 1
but 2
by 2
called 1
can 3
causes 1
celestial 1
chapter 1
children 1
city 1
close 1
collapses 1
colonists 1
colony 1
comforts 1
coming 1
contraction 1
copy 1
courting 1
create 1
damaging 1
danger 1
day 1
decades 1
decided 1
degree 1
deposit 1
despite 1
disaster 1
doesnt 1
domination 1
done 1
dormant 1
down 1
due 1
each 2
earlier 1
earth 3
ecoprospector 2
ecospecting 2
ecospector 1
educational 1
electronics 1
else 1
ends 1
environment 1
erasing 1
escape 1
estimated 1
event 1
events 1
exam 1
exosuit 1
expects 1
fact 1
farther 1
father 2
field 1
find 1
first 2
flare 1
fled 1
follow 1
food 2
footsteps 1
for 3
forgo 1
forth 1
fortune 1
friends 1
from 4
frontier 1
full 1
further 1
furthermore 1
future 2
gaps 1
generation 1
generations 1
get 1
getting 1
gives 1
go 1
going 1
good 1
gpslike 1
group 2
grumpily 1
had 1
half 1
happened 1
has 9
have 2
he 6
help 1
her 17
highenergy 1
himself 2
hold 1
hopes 1
human 6
humans 3
idea 1
if 1
in 14
including 2
individual 1
information 1
instead 1
interconnected 1
into 1
is 9
it 4
job 1
join 1
just 1
killed 1
large 1
last 3
latin 1
leading 1
learn 2
least 1
leg 1
legal 1
less 1
let 2
life 2
like 2
listening 2
living 1
look 1
lose 1
magnetic 1
major 1
many 3
married 1
marry 2
mars 8
marsform 1
marsformed 1
marsforms 1
martian 1
massively 1
may 1
medicine 1
melpomene 1
members 1
memories 1
memory 2
metabolisms 1
methane 1
might 1
mind 1
modifying 1
more 1
most 2
mostly 1
much 1
murray 1
mysterious 1
nations 2
navigation 2
nearest 1
not 1
novel 2
now 1
occupation 1
occurs 1
of 25
on 9
one 3
only 1
or 3
other 2
otherwise 1
out 1
outbackpossibly 1
outdoors 1
over 2
overloads 1
override 1
overwrite 1
parallelcellular 1
particles 1
partners 1
party 3
passed 1
passing 1
past 1
people 2
permanently 1
phone 1
phrase 1
planetwide 1
point 1
preexisting 1
pressure 1
probably 1
process 1
program 2
property 1
protection 1
provide 1
psychiatric 1
psychiatrist 2
radio 1
railhead 1
reach 1
reached 1
rebuilds 1
recording 1
red 1
refugees 1
reinfected 1
reintroduced 1
reinvent 1
remain 1
resuna 5
right 1
roundabouts 1
roundings 1
runs 1
sands 1
school 2
science 1
scorehole 1
seeks 1
seems 1
several 2
she 6
shepherding 1
so 5
solar 1
some 2
someone 1
soon 1
soothes 1
space 1
speaks 1
starving 1
status 1
story 3
stranded 1
strike 1
suit 5
surface 1
surroundings 1
system 1
systems 2
take 3
taken 1
takes 1
telemachus 4
teri 8
terpsichore 1
terraforming 2
test 1
than 1
that 8
the 43
their 3
them 1
there 1
they 5
thin 1
thing 1
thinks 1
this 4
thousands 1
three 1
thus 1
time 2
to 25
track 1
tries 1
trigger 1
true 1
turns 1
twice 1
two 1
ultrafast 1
unnamed 1
unprotected 1
until 1
up 2
used 1
very 1
view 1
voice 2
vote 1
wants 1
water 1
we 2
weak 1
well 1
what 1
when 3
where 1
whereas 1
which 1
while 2
who 3
why 1
will 2
with 3
working 2
worse 1
wreck 1
year 1
years 1
yet 1
younger 1
