951987
/m/03bx1hp
/m/03bx1hp
Susan Cooper

a 10
achieve 1
after 1
again 1
agents 1
ago 1
almost 2
alone 1
also 1
ambushed 1
among 1
an 5
ancient 1
and 26
anxiously 1
any 1
are 7
arouse 1
artefact 1
arthur 1
asks 1
at 4
attention 1
attic 1
barney 3
be 2
because 1
been 1
begins 1
behalf 1
being 1
big 1
bill 1
boating 1
bookshelves 1
both 1
boys 1
british 2
but 6
by 8
case 1
caught 1
cave 1
chased 1
check 1
child 1
children 10
clue 2
clues 2
coast 1
coastline 1
coded 1
confide 1
confirm 1
contained 1
copy 1
cornwall 1
cost 1
danger 1
dangerous 1
dark 3
debate 1
decide 2
decides 2
deciphering 1
declines 1
desperate 1
diagram 1
different 1
discover 1
discovery 1
doors 1
drawing 1
drew 1
each 1
easy 1
else 1
encounter 1
encouraged 1
even 1
eventually 1
explains 1
family 1
father 1
features 1
feels 1
fictional 1
find 1
finds 1
first 1
fishing 2
follow 2
followers 1
for 3
friend 1
friendly 1
given 1
go 1
goes 1
grail 6
great 4
greatuncle 1
grey 3
grownup 1
guarded 1
guess 1
guide 1
guidebook 3
hangings 1
harried 1
has 1
hastings 1
have 3
he 4
headland 3
help 1
here 1
hidden 1
him 2
his 4
holiday 1
home 1
hoover 1
hot 1
house 4
illegible 1
important 1
in 8
inside 1
investigate 1
invite 1
is 12
it 3
its 1
jane 6
join 1
jr 1
keep 1
key 1
kidnapped 1
kind 1
king 1
knights 1
knows 1
leads 1
learn 1
light 1
local 2
lodged 1
long 1
looking 1
lose 1
lyon 1
man 1
manuscript 3
map 8
markings 2
may 2
meaning 1
meanwhile 1
merriman 3
merry 3
metal 1
misdirected 1
mother 1
mr 4
museum 1
must 2
nasty 1
night 1
not 1
now 1
object 1
observe 1
of 17
off 1
offers 1
old 2
older 1
on 7
only 1
or 1
out 4
outdoors 1
outside 1
over 2
owned 1
paints 1
parents 1
polly 2
present 1
probing 1
progress 1
pursuit 1
quest 1
questions 1
read 1
realises 2
recognize 1
refers 1
renting 1
rescued 1
return 1
rivals 1
robbed 1
scholars 1
sea 2
second 1
secret 1
seeks 1
she 4
show 1
shows 1
similar 1
simon 3
sister 3
so 2
some 2
somehow 1
someone 1
sometimes 1
soon 1
southern 1
stashed 1
stone 2
stop 1
suspicions 1
suspicious 1
tells 1
text 1
that 8
the 61
their 6
them 5
themselves 1
there 1
they 8
thrilled 1
time 1
to 22
toms 1
town 2
travel 1
treasure 1
trewissick 2
trunk 1
uncle 4
under 2
unfortunately 1
unknown 1
up 1
usually 1
very 1
vicar 2
vicarage 1
village 1
visit 1
visited 1
wall 1
warned 1
was 1
way 1
where 1
which 4
while 3
who 2
will 1
with 4
withers 3
without 1
work 2
writer 1
written 1
yacht 1
yet 1
