1430043
/m/050x7n
/m/050x7n
Alan Sillitoe


a 7
action 1
actions 1
after 1
against 2
ahead 2
aimed 1
amazed 1
an 2
and 8
arrives 1
as 2
at 1
attracting 1
authorities 2
away 2
back 1
bakery 1
be 2
bleak 1
boost 1
borstal 6
breaks 1
brutal 1
by 2
captors 1
caught 1
circumstances 1
colin 1
competition 1
confined 1
cooperate 1
could 1
cross 1
crosscountry 2
day 1
defiant 1
deliberately 3
delinquent 1
demonstrates 1
detained 1
distraction 1
do 1
drudgery 2
early 2
easily 1
establishment 1
even 1
few 1
finish 1
finishing 2
for 5
forced 1
forces 1
free 1
from 3
full 1
gesture 1
gone 1
handcuffs 1
has 2
he 10
heavyhanded 1
helps 1
highly 1
him 2
himself 1
his 5
however 3
if 1
important 1
in 9
incentive 1
independence 2
is 6
labour 1
lets 1
life 1
line 2
longdistance 2
looking 1
losing 2
major 1
manual 1
metres 1
no 1
notice 1
obvious 1
of 11
offered 1
offers 1
on 1
other 2
pass 1
physical 1
police 1
pr 1
prestigious 1
prison 1
prospect 2
prowess 1
public 1
race 6
regime 1
regrets 1
release 2
represent 1
repressive 1
resigns 1
response 1
restrictive 1
robbing 1
runners 2
running 3
ruxton 2
school 2
schools 1
seconds 1
seeks 1
sentenced 1
short 1
shout 1
show 1
smith 8
solace 1
souldestroying 1
spectators 1
speeding 1
spirit 1
stands 1
stops 1
taken 1
that 1
the 26
there 2
thereby 1
they 1
this 1
though 1
thoughts 1
throws 1
tick 1
to 7
towers 2
victory 1
view 1
welcome 1
well 1
when 2
who 1
win 2
wins 1
with 1
would 1
youths 1
