608775
/m/02w2m2
/m/02w2m2
James Luceno

a 22
able 1
aboard 5
about 3
acknowledging 1
across 1
after 6
against 5
agrees 1
alive 1
allegiance 2
allowing 1
alone 1
along 1
amidst 1
an 4
and 37
anonymous 1
anor 1
another 1
any 1
are 11
arrives 1
as 8
at 3
atoms 1
attack 2
attacked 2
attacking 1
attempt 1
aware 1
away 1
back 2
bad 1
bar 1
battle 2
be 4
because 1
become 1
before 3
believe 1
best 1
bilbringi 4
bioweapon 1
blasted 1
boss 1
bossk 3
both 3
botous 2
breathing 1
brigade 5
bring 1
brings 1
brought 2
bunji 3
business 1
but 3
by 12
called 3
can 3
captures 1
carry 1
cell 2
chewbacca 2
clues 1
coming 1
comrade 1
confront 1
conquest 1
contact 2
continue 1
coralskippers 1
coruscant 1
craft 1
creatureweapons 1
cronies 1
days 1
dead 1
deal 1
death 1
decades 1
deceit 1
decide 1
deduces 1
defector 1
defectors 1
denied 1
desh 12
destroy 1
developed 1
die 1
dies 1
disease 1
divulged 2
divulges 1
do 1
dock 1
down 2
droma 6
dropping 1
during 1
earlier 1
elan 20
empire 4
empires 1
entire 1
error 1
escape 2
escapes 2
even 1
failure 1
falcon 3
fall 1
familiar 1
family 2
fasgo 5
fellow 1
felt 1
fight 2
find 4
first 1
foil 1
for 2
force 1
forced 1
forces 4
form 1
former 1
friend 1
friends 2
from 7
further 1
galactic 1
galaxy 3
genuine 1
getting 1
give 2
given 1
gives 1
glory 1
go 1
grief 1
grieving 1
group 1
grow 1
guarding 1
han 21
handed 1
happen 1
harassed 1
has 1
have 3
he 6
heading 1
heal 1
help 4
her 11
him 6
himself 1
his 14
however 4
hutt 1
illusion 1
in 12
including 1
infection 1
infiltrator 1
information 2
informed 2
informing 1
intelligence 2
into 5
invading 1
invasion 1
is 10
isnt 1
isolation 1
it 4
jabba 1
jade 1
jail 1
jedi 4
jubilee 3
kidnap 1
kidnapping 1
kill 2
killed 1
kind 1
land 1
last 1
latter 1
launching 1
lay 1
leader 1
learn 1
leaves 1
leia 2
lethal 1
library 1
long 1
loss 1
loyalties 1
luke 1
lungs 1
mantell 4
many 3
mara 2
mask 1
masters 2
meanwhile 3
meet 1
member 1
members 1
mentor 1
military 1
millennium 3
mission 2
more 2
much 1
mutual 1
named 1
nevertheless 1
new 7
next 1
nom 1
not 1
now 2
nri 1
obroaskai 1
of 31
on 5
one 3
only 1
operation 2
orbit 1
ord 4
order 1
other 1
out 2
over 3
owed 1
particularly 1
party 1
peace 4
people 2
perished 1
pet 1
picking 1
piloting 1
plan 1
planet 1
pleasure 2
ploy 1
pod 1
pose 2
possible 2
potential 1
prevent 1
previously 1
priestess 1
prime 1
protects 1
provokes 1
pulls 1
queen 4
recent 1
reck 4
refugees 1
regarding 1
released 2
republic 6
result 1
retreat 1
return 2
rival 2
roa 4
room 1
ryn 1
safely 2
same 1
saying 1
scattered 1
sealed 1
sees 1
send 2
separates 1
sernpidal 1
several 1
shaft 2
she 7
ship 2
shuttle 1
situation 1
sizable 1
skills 1
skywalker 2
smuggler 1
smugglers 1
sneaks 1
so 4
solo 1
some 1
something 1
soon 5
source 2
space 1
species 2
spores 3
station 1
stay 1
still 3
stop 1
strives 1
structure 1
stumble 1
subtle 1
sucks 1
survive 1
tail 1
takes 1
taking 1
target 1
tears 1
tells 3
than 1
thanks 2
that 18
the 63
their 9
them 8
then 3
there 1
they 9
threat 2
thrown 1
thus 2
to 35
toppling 1
traitors 1
travel 1
tries 1
trio 1
trouble 1
true 2
try 1
turbolift 2
two 4
unaware 1
unleash 1
up 3
upon 1
uses 1
using 1
vector 1
vergere 13
vial 1
victory 1
vong 13
war 1
way 1
ways 1
weaponless 1
whatever 1
wheel 4
when 2
whereabouts 2
which 2
while 2
who 7
wife 3
will 5
with 10
wookiees 1
world 1
would 1
yacht 3
ychna 1
yields 1
yuuzhan 9
