20080910
/m/04y9fh9
/m/04y9fh9
Thomas Bernhard
1984
{"/m/05hgj": "Novel"}
80s 1
a 13
account 1
actor 4
actors 1
affective 1
against 1
all 4
allows 2
also 1
an 2
and 17
appetite 1
are 1
arrival 1
artistic 2
as 1
at 3
auersbergers 1
awaited 1
awaiting 1
axe 1
becomes 1
been 3
believes 1
bernhard 1
bernhardian 1
better 1
billroth 2
bitter 1
both 2
burgtheater 3
but 1
by 2
certain 1
chair 1
champagne 1
closing 1
comic 1
committed 1
composer 1
connections 1
consumed 1
couple 1
criticism 1
cutter 1
cynic 1
decades 1
derogatory 1
devastates 1
develops 1
dinner 4
dramatic 1
duck 1
during 1
eating 1
elderly 1
elegant 1
eleven 1
even 1
fact 1
famous 1
farce 1
ferociously 1
finally 1
for 1
friendship 1
from 1
genius 1
glass 1
group 1
guest 1
guests 2
had 1
hand 1
hasnt 1
have 2
he 3
hears 1
hes 2
him 1
his 5
home 1
honour 1
hosts 1
hypocritical 1
ibsens 1
idiosyncratically 1
impatience 1
implacable 1
in 11
inconsistence 1
increasing 1
indignant 1
inexhaustible 1
intellectual 1
into 1
is 5
its 2
joana 1
just 2
last 1
life 1
like 1
lived 1
love 1
malignant 1
married 1
marvellous 1
maudlin 1
momentum 1
narrator 4
native 1
night 2
not 1
novel 2
of 17
off 1
offensive 1
often 1
on 2
one 2
only 1
openly 1
order 1
outburst 1
people 1
performed 1
place 1
play 2
praising 1
pretentiousness 1
prose 1
reaches 1
refers 1
reflective 1
related 1
relationship 1
relives 1
returns 1
romanticism 1
romanticized 1
rural 1
sad 1
savage 1
scene 3
seen 1
sees 1
shes 1
shifts 1
singer 1
sitting 1
so 1
social 1
some 1
sophisticated 2
start 1
state 1
stroke 1
subsequently 1
suicide 1
super 1
surrounds 1
sympathetic 1
table 1
that 3
the 39
them 1
theme 1
then 1
thirty 1
this 1
through 1
ties 1
to 11
turns 1
twenty 1
two 1
united 1
unravels 1
us 1
variations 1
various 1
viennese 2
view 1
virtually 1
wake 1
webern 1
what 1
when 1
which 1
while 1
whilst 1
who 2
whole 2
whom 1
wild 1
with 5
woman 1
wood 1
woodcutter 1
word 1
world 2
would 1
wounded 1
years 1
yet 1
