5870848
/m/0fb0z7
/m/0fb0z7
Elizabeth Yates
1950
165 1
1801 1
80 1
a 18
about 2
africa 1
african 2
again 2
against 1
also 2
always 1
america 1
amos 13
an 2
and 16
angry 1
another 1
answer 2
around 1
arrangement 2
as 2
at 2
atmun 2
away 1
back 1
badly 1
barn 1
based 1
becomes 2
before 1
being 1
book 1
born 1
build 2
builds 1
business 1
but 3
buy 2
buys 4
by 1
caleb 2
called 1
can 1
chief 1
children 1
childrenbut 1
climbs 2
comes 1
copeland 3
daughter 1
debt 1
decides 1
despite 1
determines 1
died 5
dies 3
disregarded 1
do 1
does 1
doesnt 1
done 1
down 1
earn 1
enough 1
eventually 2
family 1
father 1
for 4
forgives 1
fortune 1
four 1
free 4
freedom 5
from 4
gets 1
god 1
goes 1
had 2
hampshire 2
happy 2
has 2
he 18
help 1
helping 2
her 6
him 3
his 11
house 2
ichabod 1
in 7
is 10
it 2
jaffrey 2
keep 2
keeps 1
kidnapped 1
kills 1
land 3
later 3
lazy 1
leave 1
life 3
lily 1
lives 1
lois 1
lydia 2
man 2
marries 3
money 4
more 1
mountain 1
moves 1
named 6
needed 1
new 2
not 1
now 2
of 1
old 1
on 3
one 1
opposition 1
own 2
peaceful 1
person 1
pity 1
place 1
point 2
price 1
prince 1
raid 1
real 1
receives 1
rejects 1
richardson 3
sad 2
save 1
saves 1
she 8
skilled 1
slave 1
slavers 1
so 2
sold 3
sorry 1
start 1
status 1
stealing 1
support 1
taken 2
takes 1
tanner 1
tanning 2
teaches 1
that 4
the 10
their 1
then 2
there 1
they 3
thirty 1
this 1
though 1
three 1
to 10
too 1
treat 1
until 2
up 2
very 1
village 1
violet 1
wanted 1
was 2
when 1
where 1
who 4
whose 1
wife 2
winter 1
with 2
woman 4
work 1
worker 1
works 1
wouldnt 1
year 3
years 3
yet 1
young 1
younger 1
