30598454
/m/0g9_h0v
/m/0g9_h0v
Joan Brady


34theory 1
a 8
about 1
against 1
alvah 2
america 1
an 2
and 2
as 3
attempt 1
based 1
be 1
because 1
becomes 1
brady 2
but 2
by 1
carrick 1
century 1
child 1
cope 1
cruelly 1
descendents 1
dollars 1
endures 1
escape 1
explains 1
fact 1
farmer 1
felt 1
fifteen 1
for 3
forced 1
george 2
gone 1
grandfather 2
half 1
hatred 1
have 2
he3d 1
him 2
himself 1
his 2
in 2
into 2
is 3
it 3
itinerant 1
joan 2
jonathan 2
lies 1
life 2
master 1
midwestern 1
might 1
must 1
my 1
need 1
never 1
new 2
object 1
of 5
on 1
opens 1
own 1
postcivil 1
preacher 1
railroadman 1
revenge 1
safisfied 1
slavery 1
sold 2
son 1
still 1
stokes 1
story 1
submissive 1
submit 1
tells 1
that 2
the 4
then 1
through 1
to 4
tobacco 1
treated 1
understand 1
up 1
war 3
was 1
we 1
what 3
white 1
who 2
with 1
within 1
world 1
