13433492
/m/03c55g8
/m/03c55g8
Wallace Thurman
1929
1 1
2 1
3 1
4 1
5 1
a 40
abandoned 1
about 8
accept 1
account 1
achieve 1
actress 2
acts 1
africanamerican 1
after 9
again 1
agency 2
agreeing 1
alcohol 1
alcoholic 1
all 2
alleged 1
along 3
also 1
although 2
alva 20
alvahad 1
always 1
among 2
an 6
ancestry 1
and 40
angeles 3
announces 1
another 3
answers 1
any 2
anything 1
appeal 1
appearance 3
appears 1
approaches 1
are 7
argument 1
arline 3
around 1
arrives 1
as 14
asks 1
associated 2
at 5
attracts 1
available 1
avenue 1
aware 1
away 3
be 2
become 2
becomes 1
bed 1
been 2
before 1
began 2
begins 1
being 2
believes 1
benson 2
berry 1
better 2
between 1
black 9
blacker 1
blacks 1
blake 2
bleaching 1
blue 2
boarding 1
boise 4
born 4
boy 4
braxton 3
brother 2
brought 1
brown 1
business 1
but 13
by 8
cabaret 2
california 1
calls 2
campbell 1
can 1
care 1
caricatures 1
casino 1
certain 1
chance 1
characters 1
check 1
chicago 1
child 1
chorus 1
chosen 1
circle 2
city 1
class 1
clere 2
closely 1
coal 1
colleagues 1
college 1
color 6
columbia 1
comment 1
commercially 1
companion 1
complete 1
conspicuous 1
consumed 1
contact 1
continued 1
conversation 1
could 2
couple 2
creams 1
critical 1
crowd 1
dance 1
dances 2
dancing 2
dark 3
darker 1
darkskinned 1
dating 1
daughter 1
day 2
dead 1
decide 1
decides 6
deciding 1
departure 1
described 1
determined 1
did 4
didnt 2
differences 1
difficulties 1
director 1
disappointment 1
discrimination 1
discuss 1
disfigured 1
disguise 1
does 1
dont 1
door 1
drink 2
drops 1
due 1
each 2
economic 2
education 2
else 1
emma 36
employment 1
encounter 1
encountered 1
encounters 1
encouraged 2
encourages 2
end 1
enough 4
entire 1
entranced 1
escape 1
estate 1
european 1
even 1
evening 2
events 1
excited 2
experience 1
family 4
father 1
fats 2
favor 1
feel 1
feels 2
felt 1
few 2
finally 2
find 3
finding 1
finds 1
first 1
flask 1
for 14
found 1
free 1
friend 2
friendliness 1
friends 5
from 8
generally 1
geraldine 7
get 3
giles 1
girl 6
girls 3
giving 1
go 3
goes 3
good 1
grace 2
graduation 2
grandmother 1
group 1
gwendolyn 2
had 13
happened 1
happens 1
harlem 6
has 2
haul 1
have 6
having 2
hazel 2
he 22
help 1
helped 1
her 52
hers 1
herself 2
him 7
hip 1
hired 1
his 16
history 1
home 1
hoping 1
house 1
i 1
idaho 1
ideal 1
if 2
ill 1
images 1
in 22
included 1
independence 2
individuals 1
insulted 1
intends 1
interested 1
interview 1
into 1
intrigued 1
invite 1
invited 3
is 8
it 6
its 1
job 4
joe 2
john 1
johnson 1
jokes 1
jr 1
juice 1
just 1
kinder 1
kitchen 1
know 3
knows 1
lacking 1
lady 1
land 1
landlady 1
later 2
leaders 1
learned 2
leave 2
leaves 1
leaving 1
left 2
life 4
light 4
lighten 1
lighter 3
lights 1
lightskinned 2
like 2
liked 1
live 1
look 1
los 3
lot 1
lou 34
lous 2
love 2
lower 1
lunch 2
maid 2
make 3
makes 1
makeup 1
making 1
man 6
manager 1
manipulating 1
manipulation 1
many 1
marriage 1
married 2
marrying 1
mason 1
maternal 1
me 2
meet 4
meeting 1
meets 2
melodrama 1
members 1
men 2
mind 1
money 2
months 1
more 8
morgan 3
morning 3
mother 4
move 3
moved 2
mrs 2
mulatto 1
negro 4
never 2
new 5
next 4
nigger 1
night 4
no 2
not 4
notes 1
notice 1
noticed 1
number 1
of 13
office 1
often 1
on 4
once 1
one 6
only 2
or 5
order 1
other 4
others 1
out 3
over 1
own 1
pads 1
part 6
parties 1
party 4
pay 1
people 4
personal 1
phone 1
picnic 1
place 4
placing 1
plainly 1
planning 1
plans 1
pleasant 1
politely 1
porter 1
position 1
pregnant 1
prejudice 2
prejudiced 1
presence 1
present 1
pretty 1
previous 1
problem 1
prospects 1
public 2
pullman 1
pupil 1
pyrrhic 1
race 1
ran 1
real 1
realizes 1
reason 1
reasons 1
recognizes 1
reduce 1
reflection 1
registration 1
relationship 1
remembers 1
rent 4
replied 1
respectable 1
rest 1
retired 1
returned 1
returning 1
returns 2
revolving 1
right 2
robes 1
room 1
roommate 1
running 2
said 3
saved 1
say 1
saying 1
says 2
school 5
see 2
seeing 3
seek 1
seeking 1
seemed 3
sent 1
setback 1
seventh 1
she 51
shes 1
show 2
shows 1
similar 1
sit 1
six 1
skills 1
skin 11
skinned 1
sleeping 1
sloane 1
smaller 1
some 3
someone 1
sometimes 1
son 2
soon 2
sorority 2
sorrow 1
sort 2
south 1
southern 1
speaking 1
speaks 1
spent 1
stage 1
standards 1
started 1
stay 1
stenographer 1
still 2
stopped 1
stopping 1
strange 1
struck 1
struggled 2
students 2
study 1
studying 1
stupid 1
such 1
suffers 1
suggestion 1
suggests 1
summer 1
sweeter 1
system 1
table 1
take 5
taking 1
talks 2
taylor 2
teach 1
teacher 1
teaching 2
teased 1
tell 1
tells 2
tended 1
than 4
that 13
the 47
theatre 1
their 4
them 1
then 1
there 2
theres 1
they 11
think 1
thinking 1
thinks 2
this 1
those 1
thought 3
thrilled 1
time 2
times 1
to 80
told 2
too 1
took 2
totally 1
toward 1
town 3
towns 1
training 1
trapped 1
traveled 1
tried 1
trouble 2
try 2
two 3
ucla 2
uncle 2
uneasy 1
university 1
unsuccessful 1
up 1
used 1
usual 1
usually 1
vein 1
veins 2
very 2
victory 1
visit 1
walk 1
walking 1
want 2
wanted 1
warmed 1
warrant 1
was 16
wasnt 1
wasted 1
wealthy 1
wedding 1
weeks 1
welcome 1
welcomed 1
weldon 1
went 3
were 2
what 1
when 2
where 7
which 1
while 2
white 2
who 6
will 1
wished 1
wishes 1
with 17
without 1
woman 2
women 3
wore 1
work 4
worked 1
works 1
worried 1
would 3
writer 1
wrong 1
yaller 1
years 2
york 2
you 3
young 5
youre 1
ywca 2
