238534
/m/01jlp7
/m/01jlp7
Larry McMurtry
1985
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1876 1
20 1
2000 1
a 17
absence 1
accidentally 1
according 1
across 1
admit 2
adventure 2
afraid 1
after 2
ahab 1
aim 1
all 3
almost 1
also 2
although 1
an 2
and 29
another 2
anyway 1
are 3
arkansas 1
as 3
at 2
attracted 1
augustus 1
away 2
bandit 1
bastard 1
be 3
because 3
begin 1
begins 1
being 1
best 1
birth 1
black 1
body 1
bolivar 1
boot 1
border 1
boy 1
brave 1
breathtaking 1
bright 1
brother 1
but 4
by 1
call 9
called 1
captain 5
cattle 3
changes 1
charming 1
citizens 1
claims 1
clara 2
cold 1
company 1
compensate 1
complete 1
comrade 1
cook 1
country 1
cowboys 1
creek 1
cut 1
days 1
dead 1
decides 1
dee 1
deets 1
demons 1
dentist 2
description 1
despises 1
destination 1
dobbs 1
doing 1
dove 3
down 1
drags 1
drive 1
driven 1
dusty 1
duty 1
easy 1
elmira 1
emotionally 1
emporium 1
encounter 1
ends 1
enthusiastic 1
even 1
ever 1
every 1
excellent 1
extexas 1
eye 1
f 1
failure 1
family 1
famous 1
father 2
feels 1
few 1
first 1
for 4
former 2
fort 1
francisco 1
friend 1
friendship 1
from 2
frontier 1
gather 1
gave 1
getting 1
give 1
go 1
going 1
good 2
great 1
groups 1
gus 8
had 2
happens 2
hard 1
hardship 1
hat 1
have 1
having 1
he 19
head 1
hell 1
her 4
herd 1
hides 1
him 5
his 8
honor 1
horse 1
horses 1
hostile 1
human 3
hypercompetent 1
in 8
inclement 1
including 1
indians 1
inner 1
inspires 1
instead 1
ironically 1
is 17
isnt 1
it 3
jake 4
jealous 1
johnson 2
joshua 1
july 1
known 1
knows 1
lazy 1
less 1
life 2
livery 2
lives 1
living 1
lonesome 3
lorena 1
lorie 1
love 3
loved 2
loves 1
maggie 2
make 1
male 1
man 2
many 1
marries 1
may 1
mccrae 4
meet 1
mexican 1
mexico 1
miles 2
mind 1
montana 2
more 1
mother 1
murderers 1
name 1
named 2
natured 1
nebraska 1
needed 1
never 1
newt 3
north 2
not 4
notion 1
of 17
off 1
ogallala 2
old 2
on 3
one 1
only 4
opposite 1
out 1
over 1
parker 1
partner 1
pea 1
people 1
plains 1
platte 1
pointing 1
preparations 1
prevails 1
pride 1
pristine 1
promises 1
prone 1
proposed 1
prostitute 3
rambler 1
ranch 1
ranger 2
rangers 2
reckless 1
recruiting 1
refuses 1
rejected 1
relationships 1
reminds 1
retired 1
return 1
reunited 1
ridicule 1
romantic 1
route 1
run 2
runs 1
san 1
scout 1
selfish 1
sentiments 1
settle 1
settling 1
seventeenyearold 1
she 5
sheriff 2
shot 1
shows 1
small 2
smith 1
smooth 1
so 1
son 2
spent 1
spoon 2
stealing 1
story 1
stubbornness 1
suffering 1
sweetheart 1
take 1
taskmaster 1
ten 1
territory 1
texas 1
than 1
that 3
the 26
their 4
them 3
there 1
they 4
thieves 1
though 1
three 1
time 2
to 16
too 1
town 3
tracker 1
traders 1
tragedy 1
true 1
twice 1
two 1
undependable 1
understanding 1
understood 1
up 2
version 1
wandering 1
warm 1
was 3
weather 1
western 1
when 2
which 1
while 1
who 6
whose 3
widower 1
wife 1
with 5
woman 1
women 2
wood 1
woodrow 1
words 1
work 2
workaholic 1
working 1
works 1
years 2
