17123035
/m/04099wh
/m/04099wh
Simon Scarrow
2007
{"/m/02p0szs": "Historical fiction", "/m/0hwxm": "Historical novel"}
1st 1
a 17
absorb 1
ad 1
advice 1
affairs 1
against 3
aided 1
allies 1
along 1
ambitions 1
ambitious 2
ambush 1
amethus 3
an 7
and 21
annex 1
announcing 1
antioch 1
are 7
argument 1
army 6
arrested 1
arrive 2
arrives 3
artaxes 4
as 1
at 1
attached 1
attack 2
auxiliaries 2
auxiliary 4
back 1
balthus 5
banks 1
banquet 1
base 1
battle 1
be 1
before 1
being 4
between 1
bid 1
blockading 1
bombardment 1
born 2
buffers 1
build 2
by 2
can 3
carpex 1
castor 1
cato 8
causing 1
celebrate 1
centurion 2
century 1
citadel 3
city 1
civil 1
claudius 2
cohort 3
cohorts 1
column 2
consent 1
continue 1
convoy 1
covets 1
crispus 2
daughter 1
days 1
death 3
defeat 1
defence 1
delivering 1
descended 1
desert 2
despite 2
destroy 1
destroyed 1
determined 1
die 1
diplomat 1
drilling 2
during 4
easily 1
east 2
emperor 1
empire 3
empires 1
employment 1
ending 1
euphrates 1
failed 1
fall 1
far 1
father 1
fearing 2
fight 1
first 2
following 2
food 1
for 5
force 1
fort 2
found 1
from 2
frustrated 1
further 1
garrison 1
gather 1
gives 1
governor 1
gravity 1
guarding 1
had 2
has 1
he 1
head 1
heir 1
heirs 1
hill 1
hillfort 1
his 7
horsemen 1
however 2
illyrian 2
imperial 1
in 13
influence 1
intervention 1
into 4
invasion 1
is 8
it 2
jockeying 1
julia 2
keeps 1
king 1
kingdom 1
krathos 1
later 1
leading 2
leads 2
leaves 1
led 1
left 1
legion 7
legionaries 1
legionary 1
legions 1
lifting 1
longinus 6
love 1
loyalists 1
lucius 1
macro 5
manages 2
marry 1
meant 2
meanwhile 2
meddle 1
meets 1
mercy 1
murder 1
murdered 1
murders 1
mysterious 1
narcissus 2
never 1
night 1
no 1
noble 1
not 1
of 21
often 1
on 4
only 1
order 1
ordered 1
orders 1
out 1
over 1
palmyra 7
palmyran 5
panics 1
parthian 7
parthians 4
peace 1
personal 1
persuaded 1
pitched 1
planning 1
plans 1
posting 1
powers 1
prefect 2
prime 1
prince 5
proof 1
prove 1
province 2
pursuits 1
put 2
reach 1
realise 1
rebel 2
rebels 1
reign 1
reinforce 1
released 1
removing 1
response 1
retreat 1
revealed 1
reveals 2
rift 1
roman 10
romans 2
rome 2
second 2
secretary 1
sempronius 4
send 1
sends 1
sent 1
several 1
shortly 1
should 1
siege 1
situation 1
sixth 1
skilled 1
slaughtering 1
slave 1
soldier 3
spies 1
squanders 1
stores 1
successful 1
suggestions 1
supplies 1
suspect 1
sympathiser 1
syria 3
syrian 1
tenth 4
that 7
the 71
their 3
them 1
there 1
thereafter 1
they 3
third 2
throne 3
through 1
thus 2
time 2
to 25
treachery 1
trivial 1
two 4
under 1
uneasy 1
until 1
use 1
used 1
vabathus 3
war 3
warns 1
way 2
were 3
where 1
which 1
whilst 1
who 2
will 1
with 4
work 1
