9447731
/m/02896_v
/m/02896_v
Jerry Spinelli
1984
{"/m/0dwly": "Children's literature"}
12yearold 1
15yearold 1
a 3
about 1
aid 1
alternates 1
an 1
and 3
annoys 1
are 1
argue 1
arguments 1
aside 1
at 1
attempt 1
attract 1
better 1
between 2
bicker 1
body 1
book 1
both 1
brother 2
building 1
certain 1
chapters 1
come 1
crisis 1
differences 1
disagreements 1
drive 1
each 2
end 1
erupts 1
even 1
exploring 1
follows 1
girl 1
giving 1
greg 2
her 2
him 1
hockey 1
however 1
in 1
is 2
issue 1
jennifer 1
make 1
manage 1
matters 1
megin 2
might 1
misadventures 1
much 1
named 1
needed 1
no 1
nuts 1
obsessed 1
obsessions 1
of 1
older 1
on 1
other 1
others 1
perspective 1
player 1
rivalry 1
set 1
showing 1
sibling 2
smallest 1
somehow 1
still 1
story 1
than 1
that 1
the 5
their 4
they 2
thorny 1
though 1
time 1
times 1
to 5
truly 1
two 1
various 1
when 2
which 1
while 1
will 1
with 1
