2132311
/m/06p6rh
/m/06p6rh
Raul Pompéia
1888
{"/m/05hgj": "Novel"}
a 7
accept 1
afterhe 1
age 1
along 1
alveswho 1
and 4
approached 1
approaches 1
as 1
at 1
ateneu 2
avoid 1
becomes 2
begging 1
bento 1
beyond 1
blondy 1
book 2
boy 3
boys 1
burning 1
but 1
by 4
chapter 1
clear 1
close 1
coiffeurand 1
company 1
constantly 1
cut 1
cuts 1
develop 1
disciplined 1
does 2
dont 1
doorsteps 1
down 1
due 1
egbert 1
eleven 1
ema 1
emotional 1
end 2
engage 1
enters 1
eventually 1
facing 1
fate 1
father 2
fear 1
feelings 1
fire 2
first 1
for 2
franco 2
friendship 2
go 1
hair 1
he 3
headmaster 2
him 2
his 2
homosexual 1
immediately 1
in 4
into 1
is 5
it 1
knowthe 1
left 1
life 1
maturity 1
meets 1
metaphor 1
mostly 1
named 2
not 2
nourishes 1
nursedona 1
of 8
older 1
on 1
order 1
out 1
pretty 1
progresses 1
proposal 1
rebellious 1
references 1
relationship 2
represents 1
same 1
school 3
see 1
sets 1
sexual 2
should 1
since 1
srgio 6
statement 1
structure 1
student 1
studentssanches 1
the 21
their 2
then 2
this 2
time 1
to 6
towards 2
try 1
two 1
very 2
well 1
which 1
whole 1
with 2
you 2
yours 1
