25333921
/m/09gbgx6
/m/09gbgx6

2008-04-08
{"/m/05h83": "Non-fiction"}
100000 1
132 1
133 1
2005 1
3 1
300000 1
580000 1
a 30
able 1
about 2
absolute 1
accounts 1
action 3
actions 1
actively 1
actually 1
address 1
addressed 1
adequate 1
administration 1
adopt 1
advance 1
advocate 1
after 1
air 1
all 2
allows 1
almost 1
also 3
americans 2
an 10
analysis 1
anchoring 2
and 38
answer 1
any 2
architects 1
architecture 5
architectureit 1
are 16
areas 1
argue 1
around 1
arrangements 1
arranging 2
arrive 1
arriving 1
as 9
asch 1
asked 1
aspect 1
assigned 1
associate 1
at 11
attend 1
authors 1
automatic 3
automatically 1
availability 2
available 5
away 1
ball 1
based 1
basketball 2
bay 2
be 19
because 6
becomes 1
becoming 1
been 2
behavior 2
behind 1
being 1
beings 2
belief 1
believe 3
below 1
beneficiaries 2
best 1
better 2
between 2
bias 3
biases 1
book 4
bound 1
brought 1
bush 2
business 1
but 6
by 9
cafeteria 1
can 7
cancer 1
case 1
certain 3
certainly 1
change 1
characterize 1
charge 1
chicago 3
choice 9
choices 4
chooses 1
circumstances 1
cite 2
city 2
claim 1
clear 1
clearly 3
clusters 1
coercion 2
cognitive 1
coincide 1
college 1
commit 1
common 1
commonly 1
community 1
companies 1
compare 1
compatible 1
conflicts 1
considered 2
considering 1
consumption 2
contains 1
context 1
continue 2
contribution 1
could 2
course 2
creating 1
creation 1
critical 1
cumbersome 1
customer 1
d 1
data 1
deal 1
decide 1
decision 1
decisions 2
decreasing 1
default 2
degree 1
deliberate 1
depression 1
describes 2
design 1
designed 1
desire 1
did 1
difference 3
differences 1
dimensions 1
discuss 1
divide 1
do 3
does 2
doing 1
donation 2
donor 1
donors 1
draws 1
drivers 1
drugs 1
ducking 1
due 2
each 1
easily 2
eating 1
economicus 2
economists 1
effect 1
effects 1
employees 2
ended 1
endorsement 1
ends 1
enough 1
enrolled 1
environment 1
even 1
event 1
example 6
examples 2
expense 1
experiencing 1
expertly 1
explain 1
extent 2
eye 2
faced 1
fact 1
facts 1
fallacies 2
false 2
famous 1
fans 1
feels 1
fees 1
finance 1
first 1
fits 1
food 6
foods 2
for 12
free 2
freedom 1
freely 1
frequency 2
from 2
fruitful 1
general 1
gently 1
geographical 1
get 2
getting 1
given 1
go 1
goals 1
good 1
government 2
governments 1
great 1
green 2
guess 2
guesses 1
had 1
harder 1
has 5
have 5
having 1
he 1
health 1
healthier 2
healthy 2
heavily 2
help 1
herd 1
heuristic 3
heuristics 2
home 1
homicides 2
homo 3
hot 1
how 4
however 1
human 4
hypothesis 2
ideals 1
if 3
impeded 1
improving 1
in 33
include 3
increase 1
increases 1
increasing 1
incurred 1
individual 1
individuals 2
influence 2
influenced 3
information 3
insistence 1
instance 1
instances 1
instinctive 1
insurance 1
interactions 1
interest 1
intimidated 1
into 1
invite 1
involve 1
is 23
issue 1
issues 1
it 8
itemized 1
its 1
judge 1
judgments 1
junk 5
just 1
justifications 1
kind 1
know 1
knowing 1
knowledge 1
large 1
larger 1
leads 1
least 1
legitimate 1
length 1
less 1
level 2
libertarian 7
libertarianism 1
license 1
lies 2
lifestyle 1
like 3
likeand 1
likely 2
lines 1
list 1
lives 1
location 1
longer 1
made 1
magazine 1
magazines 3
mailed 1
main 1
major 1
make 5
making 4
mandated 1
many 5
marriage 1
married 1
matter 1
may 1
meaningful 1
medicare 1
members 2
mentality 1
might 1
million 2
milwaukee 4
mind 1
mistakes 2
more 7
most 1
mountains 2
much 1
must 1
nature 1
necessarily 1
negative 2
nervous 1
next 1
no 2
not 15
notions 2
nudge 4
nudged 1
nudges 2
number 2
obvious 1
occur 1
occurring 1
odds 1
of 73
offer 2
offered 1
often 1
on 10
one 8
ones 2
online 1
only 3
opt 1
or 7
order 3
organ 4
other 3
others 1
our 1
out 2
over 1
overstate 1
oxymoron 1
part 1
partially 1
participants 1
paternalism 4
paternalistic 1
patterns 1
pay 1
paying 1
peer 1
people 17
perceiving 1
person 1
personal 1
picture 1
piece 2
place 1
places 1
placing 1
plan 3
plans 1
player 1
players 2
point 3
policy 2
political 1
politics 1
population 5
portion 1
portions 1
position 1
power 3
predict 1
predictable 1
presented 1
pressure 1
prevented 1
probability 1
problems 1
procrastinating 1
program 6
programs 2
propose 3
psychology 1
puppy 1
purchasing 1
pursued 1
pursuing 1
put 1
putting 1
questions 2
quo 1
raise 1
raises 1
random 2
rapid 1
rate 1
rates 1
rather 1
rationality 1
reach 1
read 1
readily 2
real 1
receiving 1
recommendations 2
refer 2
reflective 2
relies 1
remains 1
renew 1
representativeness 1
research 1
resembles 1
resident 2
resources 1
result 1
resulting 1
retirement 1
right 1
risks 1
roughly 1
row 1
same 1
sapiens 1
save 2
saving 1
savings 1
say 2
saying 1
school 1
schools 1
score 1
security 1
seeing 1
seem 1
seems 1
selfconscious 1
send 1
seniors 1
series 2
serious 1
she 1
shelves 1
shot 1
shots 3
should 5
sign 1
similar 1
simple 1
since 2
sits 1
slight 1
smiling 1
so 2
social 3
sold 1
solomon 1
some 3
someone 1
species 1
specifically 1
spirit 1
state 5
states 1
status 1
statusquo 1
still 1
straightforward 1
strategies 1
study 1
subject 1
subscription 1
such 4
suffered 1
suggest 1
suggestion 1
suggestions 1
suicides 1
sunstein 9
supports 1
system 7
systems 2
take 1
taken 2
taking 1
term 1
textbook 1
thaler 9
than 3
that 33
the 81
their 13
them 1
themselves 2
then 1
theories 1
these 7
they 29
thing 1
think 3
thinking 1
thinks 1
this 9
though 1
thought 2
three 1
thrown 1
thus 2
time 1
timed 1
times 1
to 42
tomorrow 1
too 1
top 1
track 1
traditionally 1
trait 1
trial 1
trials 1
triple 1
trips 1
truly 1
try 1
turbulence 1
two 3
under 1
undesirable 1
unfailingly 1
union 1
united 1
unlike 1
unlimited 2
unnecessary 1
until 1
up 1
upon 1
us 1
use 2
used 2
usually 1
very 1
victim 1
view 1
viewed 1
want 2
was 3
way 7
we 1
websites 1
well 1
were 2
what 4
whatever 1
when 8
where 5
wherein 1
whether 2
which 7
while 2
who 2
why 1
wide 1
widely 1
will 1
with 7
within 2
without 1
word 1
work 3
would 11
wrongly 1
yearly 1
years 1
yet 1
you 1
