25077104
/m/04w9km8
/m/04w9km8
Tanya Huff
1991
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
450yearold 1
a 19
about 2
accidentally 1
actually 1
after 2
agree 2
alive 1
allow 1
allows 1
almost 2
also 3
although 1
always 1
an 3
ancient 1
and 21
another 1
apartment 2
are 1
arguments 1
arrives 2
as 1
astaroth 1
at 1
attacked 1
bad 1
bastard 1
became 1
because 1
becoming 1
been 2
begins 1
believe 2
believes 1
between 1
birdwell 1
black 1
bleeds 1
blood 3
body 2
bond 1
book 1
bring 1
brutal 1
but 3
by 1
call 2
called 1
calling 2
calls 1
case 1
catch 1
cellucci 2
christina 1
claiming 1
college 1
comes 2
competitors 1
continues 1
coreen 5
crime 1
curious 1
dark 2
date 1
day 1
dead 1
deal 1
death 3
defeat 1
demon 7
demons 1
desperate 1
detective 2
diagnosis 1
did 1
disappear 1
disappearing 1
discovers 2
does 3
doing 1
drained 1
drink 1
duke 1
during 1
each 1
earth 1
ends 1
feed 1
fell 1
fennel 1
fights 1
finds 3
fitzroy 1
for 6
force 1
forced 1
former 2
friend 1
from 2
get 1
gets 1
girlfriend 1
give 1
goods 1
grimoire 2
group 1
hare 1
has 2
have 1
he 10
head 1
heal 1
hell 1
help 1
henry 8
henrys 1
her 19
him 9
hires 1
his 5
homicide 1
hospital 1
hunting 1
id 1
illusion 1
in 11
inform 1
information 1
informs 1
intense 1
into 1
investigate 1
investigating 1
investigation 2
investigator 1
is 17
it 2
jurisdiction 1
just 1
kidnaps 1
killer 5
later 1
leads 1
leave 1
leaves 1
looking 1
love 1
make 1
makes 2
man 5
material 1
meanwhile 1
mike 4
more 2
murder 1
murderer 1
murders 1
names 1
nature 1
needs 1
nelson 1
new 2
next 1
night 2
norman 2
not 4
of 10
on 2
one 1
out 4
over 1
partner 1
pigmentosa 1
police 3
powerful 1
powers 1
price 1
private 1
procure 1
punches 1
purse 1
realises 1
receiving 1
rendering 1
report 1
residence 1
retinitis 1
richmond 1
ritual 1
romance 1
rp 2
ruined 1
sacrifice 1
same 1
save 1
scene 1
scream 1
searching 3
see 2
sees 2
sergeant 1
servants 1
she 18
should 3
sight 1
sleeps 1
so 3
some 2
son 1
stay 1
stolen 1
stop 1
stranger 1
strong 1
student 1
supernatural 1
sure 1
surprisingly 1
takes 1
talks 1
tells 3
that 14
the 38
their 1
them 4
they 1
thinks 1
this 1
three 1
thus 1
time 2
to 28
together 1
transfusion 1
trick 1
tries 2
trying 1
turned 1
turning 1
turns 1
two 5
unconscious 1
uncover 1
unknown 1
up 2
useless 1
vampire 4
vicki 8
vickis 2
vicky 1
victims 1
viii 1
vision 1
visit 1
wakes 1
walks 1
wants 1
was 3
what 2
when 6
which 2
while 2
who 10
willing 1
with 2
witness 1
wrist 1
writer 1
young 1
