9710550
/m/02ppt37
/m/02ppt37
Hanif Kureishi
1999
157 1
2001 2
a 13
about 1
accepts 1
addicted 2
advice 1
afraid 1
after 3
afterwards 1
alcohol 2
ali 13
alis 2
all 1
although 1
always 1
an 1
and 16
angry 1
antireligious 1
any 1
anything 1
appears 1
are 1
argue 1
as 1
asks 2
assume 1
at 2
attacked 1
attacks 1
attitude 1
attitudes 1
away 2
back 1
be 2
beard 2
because 6
become 1
becomes 1
been 2
behavior 2
bettina 9
breaks 2
britain 1
brought 1
but 6
buy 1
by 1
car 4
care 1
cautiously 1
change 1
changed 2
changes 1
civilization 1
client 1
come 2
conclusion 1
confidante 1
contempt 1
conversation 2
criticizes 1
cultivates 1
day 1
days 3
deals 1
decides 2
defend 1
defended 1
dinner 1
discussing 1
does 3
down 1
drinking 1
drinks 2
drive 2
drives 1
driving 1
drug 1
drugs 2
during 2
each 1
early 1
earn 1
eating 1
education 1
escape 1
even 1
eventually 1
explain 2
fanatic 1
father 5
fathers 1
feels 1
few 2
find 1
finds 1
five 1
following 1
for 1
friends 2
from 4
furious 1
give 1
gives 1
goes 1
going 2
growing 1
grows 1
had 2
has 9
have 1
having 1
he 16
healthy 1
her 1
him 6
himself 1
his 36
hitting 1
holds 1
home 2
hoping 1
house 1
how 2
however 1
ideas 1
if 1
implicated 1
in 9
initially 1
instructs 1
into 1
invitation 1
invite 1
is 12
it 3
just 1
kind 2
koran 1
korans 1
kureishi 2
later 2
leave 1
leaves 1
life 2
lost 1
lot 2
loves 1
meeting 2
might 1
migrated 1
mind 2
money 1
moving 1
much 1
narrative 1
next 1
not 4
notices 1
now 1
observations 1
observe 1
observed 1
observes 1
of 10
offends 1
often 1
on 2
only 1
opinion 1
or 1
other 1
out 2
pakistan 1
parvez 21
physical 1
physically 1
please 1
point 1
pork 1
prays 1
preempts 1
problems 1
prostitute 1
protect 1
reaction 1
receive 1
recent 1
refuses 1
religious 1
resolves 1
room 1
rules 2
runs 1
sees 1
sell 1
sells 1
she 2
short 1
show 1
showpiece 1
sidewalk 1
significantly 1
silence 1
since 1
some 1
son 15
sons 1
start 1
starts 1
still 2
stops 1
story 1
strange 1
studies 1
take 1
talk 1
taxi 2
tell 1
tells 3
that 10
the 15
them 3
there 1
these 1
they 3
things 3
this 3
times 1
to 30
too 1
totally 1
towards 1
tries 2
try 1
turns 1
understand 1
up 2
very 2
view 1
walking 1
walks 1
wants 2
way 1
western 2
what 3
when 2
while 1
who 5
with 8
worries 2
wrong 1
