8192724
/m/026vqj9
/m/026vqj9
Ray Nelson
1967
a 17
able 1
activating 1
after 3
against 1
agents 1
aliens 2
all 2
along 1
although 1
an 1
and 8
androids 2
another 1
apparent 1
are 3
army 1
as 5
assassinating 1
association 3
assume 1
attended 1
bale 1
balkani 5
be 1
become 3
before 1
black 1
block 1
both 1
but 1
by 11
cache 1
can 1
cant 1
capable 1
capture 2
captured 1
caused 1
chance 1
clinic 1
collaborating 1
collaborationist 1
collaborators 1
coming 1
commits 1
concerned 1
conquered 1
contact 1
core 1
cover 1
covertly 1
created 1
creature 1
creatures 1
creeches 3
danger 1
dark 1
darkness 1
decide 1
declined 1
defeated 1
dei 1
democracy 1
deprivation 1
desert 1
destroy 3
destroyed 1
developed 1
device 3
discovering 2
discredited 1
doctor 1
dr 3
due 1
during 1
earth 3
enable 1
encouraged 1
ends 1
enemies 1
enthusiastic 1
exceptional 1
existential 1
experiential 1
faction 1
finally 1
for 1
foresaw 1
form 1
former 1
forms 1
free 1
from 2
future 1
ganymede 2
ganymedean 1
ganymedeans 1
ganymedians 3
genius 1
get 1
girlfriend 1
grandi 1
group 1
gus 3
had 1
has 3
have 1
he 2
hell 1
hellweapon 3
help 2
helped 1
her 2
hiashi 2
him 1
his 5
home 1
host 1
humanity 2
illusion 1
illusions 1
impractical 1
in 3
infiltrate 1
instinctively 1
into 2
invasion 1
ionocraft 1
is 13
it 1
itlora 1
its 1
joan 4
judging 1
kill 1
killing 1
landowner 1
last 1
lead 1
leader 2
led 1
life 1
limbless 1
link 1
machines 2
manages 1
means 1
meanwhile 1
mekkis 5
mind 2
most 1
motives 1
movement 1
muslim 1
needs 1
neegparts 2
never 1
normal 1
norwegian 1
not 1
novel 2
now 1
number 1
obsessed 1
of 17
off 1
offer 1
offers 1
on 5
one 1
operates 1
opposed 1
oracle 1
order 1
other 1
own 1
paul 1
percy 12
permanent 1
physical 1
place 1
planet 1
planted 1
precognition 1
prevent 1
problems 1
protect 1
proxy 1
psychiatric 4
psychological 1
puppet 2
racist 1
rays 1
read 1
reality 1
recently 1
regime 1
remaining 1
replacing 1
resistance 3
resistors 1
restored 1
result 1
returning 1
revenge 1
rivers 5
robots 1
rudolph 4
rule 1
ruler 2
ruse 1
saddled 1
seeking 1
seized 1
sends 1
sensory 1
sent 1
sides 1
slaverace 1
so 1
society 1
specialist 1
start 1
still 1
stop 1
success 2
suicide 1
suicides 1
sun 1
supporting 1
swenesgard 3
switch 1
switches 1
takes 1
telepath 1
telepathic 1
telepaths 1
tennessee 2
thanks 1
that 7
the 33
their 6
them 1
theories 1
therapy 1
they 1
this 1
those 1
though 1
thought 1
through 1
times 1
to 22
tracking 1
trained 1
trapped 1
troops 1
troublesome 1
true 1
turn 1
turning 1
tv 1
unable 1
under 1
unknown 1
until 1
up 1
used 1
useful 1
users 1
vermi 1
via 1
vidphones 1
violently 1
void 1
war 2
was 1
weapons 1
well 1
when 2
who 4
whose 1
will 2
with 7
withdraw 1
within 1
wondering 1
world 3
wormlike 1
would 1
wrongly 1
x 12
