9478237
/m/028bgdw
/m/028bgdw
John O'Keefe

a 7
accept 1
act 1
advances 1
advises 1
affections 1
all 1
an 2
and 10
appears 1
apprehended 1
are 1
arranges 1
as 2
audience 1
away 3
be 2
beauty 1
bedroom 1
believe 1
bellamy 4
between 1
but 3
by 4
called 1
case 1
claiming 1
close 4
clownish 1
conspires 1
constables 1
constant 1
conversation 3
court 1
cousin 1
custody 1
daughter 1
disguises 1
dismiss 1
dismissed 1
divulges 1
doctor 1
doing 1
eavesdrop 1
employer 1
entire 1
era 1
eventually 1
features 1
feigns 1
fidelity 1
final 1
financial 1
for 2
forced 1
former 1
frances 11
friend 1
from 1
gentleman 1
going 1
granted 1
hartwell 15
has 2
he 2
her 4
herself 1
him 5
himself 1
his 5
hornet 2
house 1
impression 1
in 6
including 1
independent 1
interrupts 1
into 2
is 16
its 1
judgement 1
king 1
leads 1
leaves 1
like 1
likewise 1
love 2
loves 2
loyal 1
madness 1
maid 1
many 1
married 1
marry 1
masque 2
mdash 2
meanwhile 1
mistaken 1
mother 2
muddle 1
niece 2
night 1
now 1
nurse 4
of 10
on 2
order 1
out 1
overheard 1
paris 1
place 1
plan 1
playfair 4
plays 1
pretended 1
pretends 3
prospective 1
pursuing 1
real 1
receptive 1
recognizes 1
representation 1
reverses 1
room 1
same 1
scared 1
servant 1
servants 1
several 1
she 1
shirley 2
shut 1
smuggle 1
soninlaw 1
spirited 1
startup 12
straightened 1
subject 1
subplot 1
suffering 1
suit 1
suitor 1
surrender 1
suspected 1
taken 1
tells 1
test 1
testing 1
that 4
the 20
their 2
this 1
to 17
treated 1
tricked 1
triumph 1
uncle 1
understanding 1
unknowingly 1
until 1
up 1
usurer 1
watch 1
where 1
while 1
who 4
wishes 1
with 7
works 1
would 1
write 1
