566190
/m/02qpbg
/m/02qpbg
Ethel Pedley
1899
{"/m/0dwly": "Children's literature"}
1884 1
5yearold 1
a 3
able 1
after 1
all 1
and 2
animals 1
approached 1
berries 2
book 1
by 1
chasing 1
criticism 1
decides 1
despite 1
dot 3
eat 1
eating 1
fear 1
filled 1
girl 1
gives 1
hare 1
has 1
help 1
her 5
home 1
human 1
humans 1
in 3
interference 1
into 1
is 4
joey 1
kangaroo 3
language 1
little 1
losing 1
lost 2
named 1
negative 1
of 3
on 1
outback 1
own 2
plight 1
red 1
she 2
sight 1
some 1
tells 1
the 8
to 3
understand 1
upon 1
who 2
wild 1
with 1
wood 1
