17025398
/m/0415_2x
/m/0415_2x
Diane Glancy
1996
183 1
1838 1
651 1
a 3
account 1
accurate 1
add 1
after 1
along 3
also 1
american 1
an 2
ancestors 1
and 18
andrews 3
are 1
as 2
aunt 1
back 1
bear 2
between 1
bitterness 1
both 1
but 2
by 1
carry 1
character 1
characters 1
cherokee 5
chronologically 1
close 1
combined 1
connection 1
daughter 1
describes 1
diane 1
died 1
documents 1
each 1
emotional 1
emotionally 1
enough 1
everybody 1
experienced 1
faced 1
family 1
february 1
for 3
from 1
gender 1
genocide 1
give 2
glancy 5
go 1
guiding 1
had 4
helplessness 1
her 2
historical 1
historically 1
horrific 1
horror 1
hundred 1
husband 1
i 3
in 2
indian 3
indians 2
instance 1
interview 1
into 1
is 4
it 2
jennifer 1
knowledge 1
land 2
livelihood 1
location 1
losing 1
losses 1
main 1
majority 1
many 2
maritole 1
me 1
miles 1
missionaries 1
month 1
months 1
mother 1
mountains 1
nine 1
novel 2
now 2
of 15
off 1
on 1
one 1
over 1
pain 1
people 1
permission 2
perspectives 1
physically 1
plethora 1
presents 1
pushing 2
quarterly 1
refer 1
referred 1
relationship 1
removal 2
responsible 1
reveals 1
roles 1
sense 1
september 1
snow 1
soldiers 2
sorrow 1
started 1
story 3
suffered 2
takes 1
taps 1
tears 3
tell 1
tells 2
that 2
the 32
their 7
them 1
think 1
thirteen 1
those 3
thoughts 1
thousand 1
through 5
to 10
together 1
too 1
traditional 1
trail 6
traveled 1
travels 1
tribulations 1
trudging 1
us 1
variety 1
voice 2
voices 4
walked 1
walking 1
wasnt 1
water 1
we 1
weaves 1
were 1
what 2
who 3
whom 1
wife 1
with 6
within 1
women 1
write 2
