3399022
/m/099j78
/m/099j78
Randall Garrett

3 1
48 1
a 28
abandons 1
abduction 1
abilities 1
about 1
above 1
accepted 1
accused 1
address 1
advised 1
against 2
agitation 1
air 1
alien 1
all 2
allow 1
also 1
an 3
ancestors 1
and 23
animals 1
answer 1
antipriesthood 1
apparently 1
appearing 1
appears 1
are 6
arrange 1
as 8
ashore 1
assailants 1
assume 1
at 6
attacking 1
authorities 1
authority 1
aware 1
backfires 1
barely 1
be 5
because 1
become 1
becomes 1
been 2
before 2
begins 1
being 2
beings 1
best 1
between 1
biology 1
blasphemy 1
blockhead 1
both 1
bracketed 1
brajjyd 5
branch 1
breed 1
breeding 1
brightest 1
building 2
buildings 1
burned 1
bursts 1
but 5
by 8
calling 1
can 1
captain 1
captive 1
carried 1
carrying 1
cast 1
charismatic 1
cheaply 1
child 1
clan 2
clear 1
clearing 1
clouds 1
come 1
commence 1
concealment 1
condition 1
conduct 1
connivance 1
continues 1
council 2
credit 1
crop 2
crops 3
cycle 1
cycles 1
dangerous 1
daughter 1
dawn 1
dawning 1
dead 1
dealing 1
death 1
declines 1
deest 2
deference 1
del 7
depressed 1
depression 1
desperate 1
details 1
dictate 1
did 1
divine 1
dmorno 1
do 1
does 4
doubles 1
dran 2
drowned 1
earlier 1
earthman 3
earthmen 6
economic 1
edris 7
elder 3
elders 8
eliminated 1
else 1
encounter 1
encouragement 1
end 2
engineering 1
enrols 3
ensuing 1
enthusiastic 1
entire 1
escaping 1
especially 1
even 3
excess 1
expelled 1
expense 1
fact 1
failed 1
falls 1
family 1
farmers 3
farms 1
father 1
favor 1
favored 1
feel 1
fertilizer 1
find 2
finding 1
finds 5
finished 1
first 2
fittest 1
flat 1
flees 1
flesh 1
flock 1
follow 1
fond 1
food 1
for 8
force 1
form 1
formulates 1
foundations 1
from 4
gather 1
gefulda 1
gekiv 1
get 2
girl 1
glut 1
goes 2
going 1
gone 1
graduates 1
grandfather 2
grandparents 1
grandson 1
great 2
ground 2
grown 1
grows 1
growth 1
had 2
hapless 1
hard 1
has 5
have 5
having 1
he 21
her 2
high 3
him 6
himself 2
his 19
hormone 6
however 1
hugl 6
identity 1
if 2
ignoring 1
impoverished 2
improve 1
in 17
income 1
independent 1
indicates 1
indispensable 1
insect 1
insects 1
inside 1
interested 1
into 1
irreligious 1
irreverent 1
is 14
it 7
its 2
jones 3
keep 1
killed 1
kinis 2
kiv 12
known 2
knows 1
lake 1
larvae 2
law 2
lays 1
leader 1
leave 2
life 1
light 3
little 1
livelihood 2
living 1
looks 1
lost 1
lot 1
love 1
lynched 1
made 1
make 2
making 1
man 1
marriage 2
marries 1
marry 2
mate 1
may 1
mean 1
meeting 1
meets 1
member 1
men 1
mention 1
merchant 1
millennia 1
mob 1
money 1
more 4
most 2
mountains 1
must 2
name 3
narla 2
narrative 1
natural 1
need 2
never 1
new 8
next 1
nidor 4
nidorians 2
night 1
no 3
none 1
norvis 7
not 8
nothing 1
now 2
occasional 1
odd 2
of 34
old 3
on 9
once 1
only 2
or 1
organizes 1
original 1
others 1
out 3
own 3
parents 1
particularly 1
party 3
pass 1
passage 1
patch 1
path 1
pecharnok 2
pedorvis 1
pefenn 4
peganz 2
pekrin 1
peniblo 2
perahn 1
persuade 3
persuaded 1
pest 1
peych 1
peychbean 1
place 1
plan 3
plough 1
ploy 1
poisons 1
political 1
ponds 1
powder 4
priesthood 3
promise 1
promoted 1
proper 1
protect 1
protection 1
pursued 1
quickly 1
rahn 8
rains 1
reached 1
real 1
realizes 1
reckoned 1
reenlists 1
relative 1
remembers 1
replacement 1
resist 1
resolves 1
return 2
returning 1
rich 1
rid 1
right 1
root 2
saga 1
sailor 1
sailors 1
school 6
science 1
scripture 2
secretary 1
secrets 1
seems 1
sees 3
sell 1
selling 1
sesom 3
she 8
shells 1
ship 2
shipments 1
show 1
sign 1
signs 1
sindi 6
single 1
smith 4
so 2
solution 1
some 2
someone 1
something 1
source 1
speak 1
spreading 1
staple 1
starting 1
starts 1
stoned 2
stop 1
stories 1
strange 1
strangely 1
streak 1
strike 1
stripping 2
strongarm 1
students 1
studies 1
subject 1
suddenly 1
suffered 1
support 1
supposedly 1
swimming 1
tactics 1
take 2
teach 1
tell 1
tends 1
than 2
thanks 1
that 10
the 99
their 5
them 4
themselves 1
then 3
there 2
these 1
they 7
think 1
this 2
those 1
though 1
three 1
through 2
time 3
to 39
too 3
tradition 4
transport 1
tries 2
troubles 2
unable 1
under 3
uneducated 1
until 1
up 2
use 1
used 2
using 3
violated 1
vulnerable 1
vyless 1
watching 1
water 3
way 8
well 1
what 1
when 2
where 2
which 2
who 6
why 1
wild 1
will 4
wipes 1
with 13
within 1
words 1
work 2
works 2
would 2
wrong 1
years 1
yet 1
yield 1
yorgen 3
yorgens 1
