21384091
/m/05f6ggl
/m/05f6ggl
Jordan Sonnenblick
2006
{"/m/03mfnf": "Young adult literature"}
100 1
125 1
16yearold 1
375 2
a 12
ability 1
about 1
after 1
alex 13
also 1
an 2
and 7
annette 1
arts 1
assigned 1
assignment 1
at 1
attends 1
back 2
be 1
beautiful 1
because 1
before 1
benefit 1
best 2
between 1
big 1
bond 1
book 4
boring 1
boy 1
but 2
by 2
calling 1
car 2
change 1
comments 1
community 1
concerts 1
constantly 1
dad 1
dance 1
dangerous 1
date 1
daughter 1
day 1
decided 1
decides 1
do 1
drums 1
dying 1
elderly 1
end 2
ends 1
even 1
everything 1
extra 1
father 1
feelings 1
first 1
for 4
forward 1
friend 1
from 1
frustrated 1
get 1
getting 1
girls 1
give 1
gives 1
gnome 1
goes 1
going 1
good 1
great 1
gregory 1
guitar 3
has 3
have 1
he 8
her 4
him 2
his 11
hit 1
home 2
hospital 2
hours 1
in 3
is 10
it 1
judge 2
knows 1
laurie 3
lawn 1
lawyer 1
learned 1
lessons 1
lives 1
look 1
make 1
makes 1
man 1
martial 1
master 1
meeting 1
mom 3
new 1
next 1
night 1
not 2
nursing 1
of 3
off 1
officer 1
on 2
once 1
one 2
parents 1
pay 2
pie 1
play 1
player 1
plus 1
police 1
puked 1
ran 1
rated 1
read 1
realize 1
residents 1
run 1
rushed 1
school 1
see 1
seller 1
service 1
several 1
sex 1
shot 1
should 2
sol 8
some 1
something 1
sonnenblick 1
start 1
steven 1
successful 1
teacher 1
teaches 1
tears 1
teases 1
that 2
the 12
their 1
them 1
they 1
thing 1
thinks 1
thirdgrade 1
throughout 1
times 2
to 13
together 1
took 1
toward 1
up 2
valuable 1
vintage 1
visit 1
volunteer 1
was 2
wasted 1
when 1
while 1
who 1
wife 1
will 1
with 3
worker 1
york 1
