5271323
/m/0dbwfj
/m/0dbwfj
Michael Moorcock
1972
{"/m/01rvlb": "Science fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0488wh": "Literary fiction"}
a 10
about 1
actually 1
after 1
afternoon 1
agrees 1
also 1
ambitions 1
american 1
an 1
and 11
annoyed 1
another 1
anything 1
are 1
as 1
asks 3
assents 1
assumes 1
at 2
attempting 1
attempts 1
back 1
be 1
bed 1
been 1
begins 3
being 1
bench 2
blocking 1
bowl 1
buy 1
by 3
chapter 4
chapters 1
childhood 1
city 1
closes 1
clothes 1
come 1
convince 1
copper 1
darkskinned 1
deep 1
derry 1
despite 1
dine 1
disturbed 1
do 1
does 1
duelling 1
during 1
ending 1
england 1
entirety 1
excluding 1
expected 1
explain 1
explains 1
eyes 1
failure 1
fantasises 1
fantasy 1
feel 1
feeling 1
find 1
first 4
flattered 1
followed 1
format 1
from 2
gambling 1
gardens 3
glogauer 14
goes 1
good 1
government 1
greeting 1
guilty 2
hadnt 1
has 1
have 3
he 10
head 2
hesitant 1
higher 1
him 3
himself 1
his 12
hotel 1
however 1
husky 1
ideals 1
if 2
illustrator 1
imaginations 1
in 8
interrupted 2
introduce 1
introducing 1
invites 1
is 3
it 1
italics 2
join 1
journeying 1
karl 1
kensington 1
last 1
lies 1
london 3
make 1
man 8
may 2
me 1
meal 1
merely 2
middle 1
most 1
mother 2
naked 1
nigeria 1
not 2
novel 2
now 1
of 8
off 1
offering 1
on 5
out 2
past 1
people 1
photograph 1
photographed 1
place 1
politics 1
present 1
price 1
put 1
reality 1
recalling 1
regencyera 1
respond 1
restaurant 1
reverie 1
rich 1
roof 1
says 2
scene 2
second 1
set 1
short 1
shoulders 1
similar 1
slightly 1
spanish 1
spends 1
subsequent 1
such 1
sugar 1
suite 1
taken 1
tea 1
that 7
the 29
then 5
there 1
they 1
through 2
to 15
tom 1
touches 1
tourist 1
travelling 1
trying 1
tudor 1
unnamed 1
visiting 1
voice 1
was 2
way 1
which 2
while 1
who 2
with 6
women 1
woodland 1
words 1
wrongly 1
yes 1
you 1
