12515352
/m/02w9y5k
/m/02w9y5k
Richard Laymon

a 3
after 1
along 1
alongside 1
an 2
and 2
any 1
are 1
as 4
at 2
axwielding 1
bahamas 1
be 1
being 1
book 1
by 1
castaways 1
characters 1
claims 1
compatriots 1
concept 1
conclusion 1
constantly 1
danger 1
developments 1
entries 2
events 1
expectations 1
explodes 1
finds 1
firstperson 1
forced 1
foregone 1
future 1
happen 1
himself 2
his 2
how 1
in 4
including 1
is 4
island 1
journal 2
killer 1
knowledge 1
least 1
left 1
life 1
lives 2
made 1
making 1
man 1
maniac 1
most 1
mysterious 1
mysteriously 1
narratives 1
narrator 1
no 1
novel 3
of 7
on 1
order 1
other 2
outwit 1
people 1
plays 1
plot 1
points 1
reader 1
right 1
rupert 5
save 1
series 1
several 1
since 1
six 1
stranded 1
structured 1
survival 1
survive 1
survivors 1
tends 1
that 1
the 14
their 2
these 1
those 1
to 5
try 1
two 1
uncertain 1
unfold 1
unlike 1
when 1
where 1
whether 1
who 1
will 2
with 4
yacht 1
young 1
