4917454
/m/0cv2y4
/m/0cv2y4
Douglas Preston
2005
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction"}
17 1
65millionyearold 1
a 21
abandoned 1
about 2
acquire 1
across 1
alien 1
alive 2
all 2
allow 1
along 1
also 1
american 1
an 6
analyst 1
anasazi 1
and 24
any 2
apollo 1
appeared 1
are 4
arrive 1
as 3
assassins 1
assistant 1
astronauts 1
at 5
back 1
bargaining 1
be 2
been 5
before 1
begin 1
black 2
board 1
body 2
book 1
break 1
breaks 1
brings 1
broadbent 2
but 2
by 8
call 1
calls 2
can 1
canyon 4
causes 1
cave 1
cell 1
chama 1
chance 1
chicxulub 1
chip 1
christ 1
cia 1
code 2
codex 1
comes 1
coming 1
complete 1
convinces 2
convincingly 1
copies 1
corvus 5
cost 1
cover 1
coverup 1
crash 1
credit 1
crookshank 1
curator 1
daughter 1
decipher 2
describe 1
desert 5
desperate 1
destroy 1
destroys 1
developed 1
dies 1
dinosaur 4
dinosaurs 1
disappeared 1
discover 1
discovers 3
discovery 1
does 1
down 1
during 1
earth 1
east 1
effort 1
employer 1
escape 2
establishing 1
evade 1
everything 1
evidence 1
evidently 1
evolution 1
examine 1
excavate 1
excavated 1
extraterrestrial 1
fame 1
famous 1
fictional 1
filled 1
final 1
find 3
findings 1
first 1
following 1
foot 1
for 1
forcing 1
ford 8
form 1
former 1
found 2
fragment 1
free 2
from 2
fully 1
funds 1
furious 1
gaining 1
gives 1
goes 1
gone 1
gorge 1
government 1
groundpenetrating 1
gunshots 1
had 2
hand 1
has 7
have 1
he 14
hears 2
helicopter 2
help 1
her 8
hid 1
him 3
hired 1
his 4
history 1
horse 1
however 2
humans 1
iain 1
identified 1
image 1
in 9
including 1
infiltrates 1
initiate 1
institution 1
intact 1
intends 2
intentionally 1
interesting 1
internet 2
into 2
introduced 1
involved 1
is 13
it 4
itself 1
jg 1
jimson 1
just 1
kidnaps 1
kill 3
killing 2
kills 1
kind 1
lab 1
leads 1
leave 1
led 1
likely 1
location 1
longer 1
look 1
lunar 1
maddox 8
made 2
making 1
man 1
manage 1
manages 1
masago 6
may 1
meanwhile 1
melodie 5
mesa 1
meteorite 1
mexico 1
mine 1
missing 1
monastery 2
monk 1
moon 1
more 1
most 1
murdered 1
murderer 1
museum 3
natural 1
nearby 1
new 1
news 1
next 1
no 1
north 1
not 2
notebook 8
novel 2
now 1
nsa 1
numbers 2
of 16
off 1
old 3
on 7
only 1
op 1
opens 1
ops 1
origin 1
out 2
over 1
overpower 1
partially 1
particles 7
permit 1
police 1
post 1
posts 1
preston 1
previously 1
processed 1
program 1
prospector 3
purposes 1
pursued 1
race 1
radar 1
raised 1
reaches 1
readings 1
realizes 1
realizing 1
recover 1
reptiles 1
rescues 1
research 6
retired 1
retrieve 2
retrieving 1
returns 1
rex 1
rides 1
riding 1
rifle 1
righthand 1
rio 1
robbie 1
rock 2
sally 3
same 1
sample 4
samples 2
secret 1
secure 1
sees 1
sequence 1
serve 1
she 7
shot 1
show 1
smithsonian 1
sniper 1
so 2
some 1
sound 1
specimen 1
spread 1
steal 2
stealing 1
still 1
structure 1
suppressed 1
takes 2
target 1
team 2
tells 1
tenure 1
that 9
the 71
their 2
them 4
theory 1
they 6
this 1
those 1
thus 2
time 3
tiny 1
to 34
tom 10
trace 1
tracked 1
training 1
trapped 1
try 2
turn 1
turns 1
two 1
type 1
tyrannosaur 3
tyrannosaurus 3
unable 1
up 1
upon 2
use 1
venus 4
viejo 1
virus 1
wealth 1
weathers 1
web 1
well 1
when 4
which 3
who 2
wife 1
with 5
within 1
without 1
witnesses 1
work 1
world 1
would 2
wyman 1
