5934648
/m/0ff90r
/m/0ff90r
Janet Tashjian
2003-05-13
{"/m/05qt0": "Politics", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02xlf": "Fiction", "/m/01z4y": "Comedy"}
70 1
75 1
a 23
about 6
access 1
according 2
after 6
all 4
also 1
americans 1
an 5
and 25
another 1
answer 1
anticonsumerism 1
anywhere 1
area 1
around 2
article 1
articles 1
articulate 1
as 7
at 7
bag 1
bands 1
be 1
because 3
before 1
begins 2
behind 2
being 1
betagold 2
better 1
bike 2
biking 1
blog 1
bloomingdale 1
bono 2
book 1
bored 1
bridge 2
but 1
buy 1
by 4
called 1
calls 1
can 1
cannot 1
car 1
causing 1
cd 1
chair 1
change 1
child 1
cide 1
clothes 1
comes 1
companies 1
completely 1
confused 1
consider 1
considering 1
cost 1
could 2
counting 1
counts 2
creates 1
curious 1
cuts 1
day 2
deceased 1
decided 1
decides 3
decision 1
depressed 1
describes 1
desk 1
did 1
do 4
does 6
doing 1
door 1
doubt 1
down 2
dream 1
drink 1
dyes 1
ends 1
england 1
entirely 1
equipment 1
even 2
every 1
everyone 1
everything 2
eye 1
fact 2
fake 1
false 1
family 1
feelings 1
festival 2
figures 1
find 1
first 2
food 1
footprint 1
for 5
freaked 1
free 1
friends 1
from 2
get 2
gets 2
giant 1
glad 1
go 2
goes 1
going 1
gospel 2
greek 1
grow 2
guidelines 1
had 1
hair 1
happy 1
harassed 1
has 6
have 1
hawthorne 1
he 44
heard 1
hears 2
hide 1
hiding 1
him 3
himself 2
his 22
hits 2
home 2
homeless 1
host 1
house 2
how 3
i 1
ideas 1
if 2
im 1
immediately 1
in 5
indian 1
interest 1
internet 1
into 2
is 18
it 11
josh 8
jump 1
jumped 1
just 1
keep 1
keys 1
kid 1
kill 2
killing 1
knocks 1
know 3
known 1
larry 4
larryfest 1
latin 1
lead 1
leave 2
leaves 1
life 1
like 1
likes 1
list 1
little 1
lives 1
local 2
looked 1
looking 1
loud 1
major 1
makeup 2
making 1
many 2
maples 1
matter 1
means 1
message 2
month 1
more 1
most 1
motel 1
mother 4
much 1
myself 1
name 2
named 1
native 1
necessary 1
new 2
news 1
newspaper 1
next 2
no 2
not 9
notebook 1
notices 1
number 1
occur 1
of 10
off 1
old 1
older 1
on 4
once 1
one 4
only 2
or 3
out 5
over 1
own 1
pair 1
pants 1
paper 1
passing 1
past 1
people 1
photograph 1
photographing 1
place 1
plans 1
play 1
point 1
possessions 4
possible 1
poster 1
posting 1
preaching 1
pretend 1
pretty 1
project 1
pseudo 1
pseudocide 1
public 1
publicity 1
purchase 1
puts 1
quickly 1
reading 1
realizes 1
really 2
recreational 1
red 1
registered 1
reporters 3
revolves 1
rides 2
rock 1
roots 1
running 1
sagamore 2
saw 1
say 2
says 1
school 1
screen 1
see 2
seeing 1
sell 2
serious 1
seriously 1
seventeenyearold 1
shaken 1
she 4
sheets 1
shoes 1
shorts 1
simply 1
singer 1
site 2
sits 1
small 1
so 3
socks 1
software 1
someone 2
sometimes 2
soon 1
speaks 1
spread 1
start 2
starts 1
stays 1
stepfather 1
stories 1
successful 1
such 1
suicide 3
supplies 1
surrounded 1
swensen 1
take 1
takes 2
talk 3
talks 1
teen 1
tells 1
that 10
the 25
their 1
them 1
then 2
there 5
they 3
things 2
think 1
this 6
those 1
though 1
threatens 1
through 1
thrown 1
throws 2
to 37
together 1
track 2
tracy 1
trade 1
tries 1
tucks 1
two 1
u2 1
unbiblical 1
underwear 1
until 1
up 5
very 2
video 1
voice 1
waits 1
want 4
wanting 1
wants 1
was 5
watches 1
waves 1
way 2
wearing 1
website 1
what 1
whatever 1
when 4
where 3
which 2
who 3
whose 1
with 3
without 1
woman 4
words 1
worked 1
working 1
world 3
would 3
writes 2
yourself 1
