717167
/m/035cm4
/m/035cm4
Julian Barnes

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 1
13 2
185 1
186 1
8 1
a 16
accident 2
achille 1
actor 1
addresses 1
aestheticism 1
against 1
an 4
analyses 1
analysis 1
and 7
another 1
ararat 1
are 2
artist 1
arundel 1
as 3
astronaut 2
auden 1
author 1
avoid 1
barnes 1
based 1
be 1
become 1
between 1
biblical 1
big 1
board 1
boat 1
brink 1
building 1
burial 1
but 1
by 1
called 1
cannot 1
caused 1
chapter 6
chapters 2
chernobyl 1
church 1
colleague 1
confronts 1
consists 1
count 1
countries 1
crew 1
cruise 1
dead 1
described 1
describes 3
die 1
different 1
disaster 1
discussion 2
drawn 1
dream 1
drowned 1
el 1
entitled 1
escapes 1
events 1
father 1
fictional 1
film 1
final 1
first 2
for 2
from 5
greco 1
gricault 2
h 1
half 3
happened 1
have 1
he 1
heaven 1
her 1
here 1
hijacking 1
his 2
historical 1
holocaust 1
impact 1
in 9
incident 1
includes 1
inserted 1
intercede 1
irwin 1
is 9
it 2
itself 1
james 1
jewish 1
jonah 1
journalists 1
journey 1
julian 1
jungle 1
landing 1
larkin 1
lauro 1
letters 1
liner 1
lines 1
louis 1
love 3
make 1
medusa 1
members 1
mission 1
monastery 1
more 1
mountain 1
ms 1
must 1
narrates 1
narrator 3
new 1
nuclear 2
of 21
offers 1
on 4
one 1
opinions 1
or 2
order 1
orgaz 1
other 2
painting 3
palatable 1
parallel 1
parenthesis 1
philip 1
philosophical 1
piece 1
poem 1
portray 1
portrays 1
preserve 1
prevented 1
project 2
protagonist 1
raft 2
reader 1
readers 1
reality 1
refugees 1
religion 1
religious 1
remote 1
report 1
reports 1
rms 1
second 1
september 1
set 1
she 1
shipwreck 2
short 1
similar 2
simple 1
softening 1
spike 1
st 1
states 2
stories 2
story 3
style 1
sure 1
survival 1
survive 1
survivor 2
tells 1
that 2
the 54
they 1
those 1
three 1
tiggler 1
titanic 1
to 10
tomb 1
travels 1
trial 1
united 1
unstable 1
upsteam 1
us 1
viewer 1
visitors 1
w 1
wants 1
war 1
wars 1
was 1
we 1
were 1
whale 1
what 2
where 1
which 3
who 2
will 1
with 2
woman 1
woodworms 1
work 1
world 2
