6199853
/m/0fwdqn
/m/0fwdqn
Caryl Churchill


a 14
action 1
actor 1
actors 1
actress 1
after 1
alcoholism 1
all 1
also 1
among 1
an 4
and 11
anthropological 1
are 2
arrived 1
as 2
at 4
away 1
baby 1
barbin 2
baron 1
bathtub 1
begins 1
bloody 1
british 1
by 4
career 1
causes 1
center 2
central 1
changes 1
character 1
characters 1
command 1
company 1
continued 1
dance 1
dancer 1
david 1
different 1
dionysos 1
disrupted 1
does 1
drive 1
drown 1
each 2
end 1
ensemble 1
epilogues 1
episode 1
episodes 2
eventually 1
every 1
experiences 1
falls 1
familiar 1
fantasies 1
female 1
first 1
fits 1
focusing 1
foucault 1
from 1
girl 1
give 1
grotesque 1
guide 1
haitian 1
hallucinated 1
hallucinations 1
has 1
haunted 1
he 1
her 4
herculine 2
hermaphrodite 1
his 4
how 1
identical 1
illness 1
in 7
include 1
independent 1
inexplicably 1
influenced 1
inmates 1
invisibly 1
involving 1
is 6
it 1
jailers 1
killer 2
killing 1
kiss 1
lan 1
language 1
lies 1
life 1
london 1
love 1
lover 1
magic 1
male 1
man 2
marriage 1
mental 1
michel 1
moment 1
monograph 1
monologue 1
must 1
narrates 1
narrating 1
newly 1
nineteenthcentury 1
nonwestern 1
of 8
office 1
on 4
order 1
other 2
overcome 1
own 2
owns 1
passionately 1
pentheus 1
performed 1
perspective 1
pig 2
play 5
possession 1
postnatal 1
practitioner 1
prison 1
prisoners 1
psychosis 1
rage 1
religions 1
repeated 1
restore 1
return 1
roles 1
scene 1
scenes 1
schizophrenic 1
seen 1
sequences 1
serial 2
series 1
seven 1
sex 1
sexuality 1
she 1
slaughterhouse 1
slowly 1
so 1
spirit 2
stories 1
story 1
strongly 1
structure 1
struggles 1
subject 1
succumbs 1
sunday 1
telling 1
than 1
the 20
their 3
then 1
this 1
to 7
tormentor 1
tragedy 1
transformation 2
tries 1
two 1
unhappy 1
unusual 1
uppercrust 1
vignettes 1
voodoo 1
watches 1
well 1
when 2
who 2
wife 1
with 2
woman 1
work 2
worker 1
wrote 1
