9764872
/m/02prhkj
/m/02prhkj
Arkady Strugatsky

a 10
acquaintance 1
action 1
adore 1
adult 1
adults 2
all 4
also 1
an 2
and 17
appear 1
are 1
around 1
artist 1
as 4
bad 1
banev 9
be 1
begin 1
begins 1
bolkunats 2
boy 1
but 1
by 2
capital 1
cause 1
chief 1
childhood 1
children 1
circles 1
city 2
colony 2
comes 1
considering 1
conversations 1
corrupt 1
counterintelligence 1
country 1
daughter 1
day 1
deeply 1
despising 1
diana 2
dinner 1
dirty 1
disappearing 1
discovers 1
discusses 1
disease 1
disfiguring 1
dislikes 1
disullusioned 1
doctor 1
dramatically 1
drinker 1
drunken 1
enter 1
events 2
existence 1
exodus 1
eyes 1
famous 1
fascist 1
favor 2
feeling 1
finds 1
fine 1
for 2
forget 1
former 1
foureyes 1
friend 1
from 2
future 1
genetic 2
geniuses 1
golem 3
gripped 1
grown 1
guard 1
guilty 1
happy 1
have 1
having 1
he 1
heavy 1
high 1
himself 2
his 1
homes 1
human 1
humanity 1
i 1
in 7
including 1
inspector 1
intellectually 1
intelligence 1
into 1
invites 1
irma 3
is 3
itself 1
kidnapping 1
killing 1
last 1
learning 1
leave 1
leaves 1
left 1
leper 3
leprosarium 1
leprosy 1
linked 1
live 1
local 1
makes 1
manifesting 1
mayor 1
meeting 1
mentions 1
middle 1
middleaged 1
mildlyauthoritarian 1
military 2
morally 1
move 1
mustnt 1
named 1
never 1
nevertheless 1
new 1
nice 1
no 1
notifies 1
now 1
odd 1
of 15
or 1
ordinary 1
out 1
overpowering 1
parents 1
patron 1
people 3
pity 1
place 1
point 1
population 1
quadriga 1
rain 2
ram 1
rays 1
represents 1
residents 1
return 1
sanitary 1
saying 1
school 1
see 1
shocked 1
simply 1
slimies 6
slimy 1
soon 1
spite 1
stops 2
strange 2
students 1
sudden 1
suffering 1
summan 2
sun 1
superhuman 1
superior 1
takes 1
teenagers 2
terrified 1
terror 1
that 3
the 31
their 2
them 1
these 1
they 2
things 1
this 1
thugs 1
to 8
town 9
type 1
uncertain 1
under 1
unfold 1
unnamed 1
up 1
victor 1
view 1
where 1
who 1
with 4
works 1
world 1
writer 2
yellow 2
yul 1
