8219920
/m/026wmq9
/m/026wmq9
Gaétan Soucy
2006-04-28
{"/m/059r08": "Psychological novel"}
a 5
after 1
aftermath 1
allan 1
an 1
and 5
arsonist 1
as 1
at 1
bank 2
been 1
burned 1
burns 1
by 1
cast 1
characters 1
chief 1
childhood 1
chronicles 1
chronicling 1
clerk 3
clubfooted 1
conception 1
core 1
crimes 1
deadly 1
demented 1
demonic 1
described 1
die 1
dostoevsky 1
eastend 1
echoing 1
edgar 1
events 1
father 1
fire 1
firemdash75 1
forever 1
from 1
fyodor 1
gradually 1
ground 1
has 1
horrific 2
illuminating 1
immaculate 1
in 3
includes 1
inferno 1
is 2
isolated 1
lives 2
lumberjack 1
mid120s 1
montreal 1
mortician 1
nativit 1
neighborhood 1
novel 1
of 6
ordinary 2
parish 1
people 1
pianist 1
poe 1
reader 1
remain 1
reminded 1
restaurant 1
reveals 1
school 1
secrets 1
series 1
set 1
some 1
story 1
sublime 1
teacher 1
that 2
the 18
to 1
ultimately 1
uncanny 1
wheelchairbound 1
when 1
will 1
workingclass 1
writing 1
