9938204
/m/02pxl73
/m/02pxl73
Octave Mirbeau
1907-11
628e8 1
abuse 1
after 1
also 1
among 1
and 5
are 1
as 1
begins 1
belgian 1
belgium 1
book 1
by 1
car 1
claude 1
cleanliness 1
colonial 1
colorful 1
congo 1
contrast 1
country 1
countrymen 1
deranged 1
during 1
encounters 1
excoriates 1
exploitation 1
fictional 1
finds 1
friend 1
germany 1
gogh 1
he 1
him 1
his 3
in 2
indigenous 1
industry 1
is 1
it 1
la 1
laxity 1
licence 1
mathematics 1
metaphysics 1
mirbeau 5
mirbeaus 2
monet 1
most 1
netherlands 1
number 1
of 5
old 1
on 1
order 1
own 1
pages 1
people 1
plate 1
proceeds 1
recounting 1
reflections 1
regarded 1
rembrandt 1
remembrances 1
rubber 1
slovenliness 1
sojourn 1
speculator 1
stand 1
takes 1
that 1
the 6
then 2
this 1
titled 1
to 4
travels 1
trip 1
van 1
weilsee 1
what 1
where 1
whose 3
