24587879
/m/080b1t1
/m/080b1t1
Sigurd Hoel

143 3
144 1
145 1
147 3
a 10
about 5
acquaintance 1
after 5
again 1
all 1
allegedly 1
already 1
also 1
amongst 1
an 3
analyse 2
analysis 2
and 10
appreciated 1
arrested 1
as 2
assigned 1
assignment 1
at 1
back 1
be 1
became 1
because 1
becomes 1
been 1
before 1
berg 4
book 2
bought 1
brief 1
builder 1
by 5
called 1
came 2
captured 1
carl 3
childhood 2
committed 2
common 1
conversation 1
country 1
couple 2
day 1
decided 1
depressed 1
describes 2
downfall 1
during 2
early 1
eastern 1
eight 1
erotic 1
escape 1
even 1
evident 1
experienced 1
experiences 1
fails 2
family 2
fate 1
father 2
fell 1
fellow 1
final 1
finally 1
find 1
first 2
flee 1
for 4
fragments 1
front 1
frontkjemperen 1
get 1
go 1
got 2
had 3
hans 4
happened 1
has 1
have 1
he 24
heidenreich 4
her 2
hiding 2
him 1
himself 1
his 15
house 3
i 4
immediately 1
imprisoned 1
in 12
indregaard 3
informant 2
interrogated 1
into 1
is 6
it 4
kari 3
karimaria 1
karsten 1
knew 1
kristiania 1
leader 1
lengthy 1
let 1
lost 1
man 1
maria 2
married 1
master 1
meets 1
midsentence 1
milepelen 1
mysterious 1
name 1
named 1
narrator 1
nazi 1
nazis 2
nazism 2
needed 2
negotiations 1
nickname 1
nomte 1
norway 1
not 1
notes 1
novel 2
now 1
occupation 1
of 14
one 9
or 1
order 1
organise 1
others 1
out 2
own 2
part 6
past 1
people 2
personal 1
pregnant 1
problems 1
prologue 1
quite 1
real 1
realised 1
redemption 1
relationships 1
rescued 1
resistance 2
responsible 2
reveals 1
saw 1
second 1
she 1
short 1
simply 1
since 1
small 1
some 2
son 2
soon 1
southern 1
spoken 1
spotless 8
starts 3
still 1
stops 1
strangers 1
student 1
students 1
suicide 2
suitable 1
superficially 1
sweden 1
talk 1
talks 3
that 8
the 35
their 1
them 1
then 1
third 1
this 3
though 1
thought 1
time 2
to 12
told 1
torture 1
town 1
tracing 1
tries 1
turn 1
turned 1
ved 1
vision 2
visited 1
volunteer 1
wants 1
was 13
weeks 1
what 1
when 2
where 1
which 1
who 6
why 1
will 1
with 6
writing 1
written 5
wrote 1
years 1
youth 2
