31059608
/m/0gg7v4_
/m/0gg7v4_
Linda Howard
2004-12-28

11 2
a 25
able 1
about 2
admits 1
affair 1
after 3
again 1
ago 1
agrees 1
alibi 1
all 3
almost 1
alone 1
always 1
ambulance 1
an 2
and 31
another 2
any 1
approaching 1
are 2
arm 1
arresting 1
arrive 1
arrives 2
as 5
asks 1
asleep 1
at 5
attacks 2
away 1
back 5
bailey 1
be 5
beach 2
because 4
becomes 3
been 3
begin 1
begins 4
behind 1
being 2
better 1
blair 28
bloodsworth 1
bods 1
box 1
brake 1
brakes 2
bring 1
brought 1
bundle 1
but 3
buys 1
by 2
call 2
called 2
calls 2
came 3
can 1
cant 1
car 7
card 1
carries 1
carrying 1
carson 1
case 1
caught 2
cellphone 1
center 1
chance 1
checks 1
club 1
come 1
comes 2
committed 1
complaints 1
condo 2
congressman 1
congressmen 1
convinced 1
copying 1
could 2
credit 1
crime 2
cut 1
cutting 1
dates 1
day 5
debra 4
decided 1
decides 2
details 1
detectives 1
dial 1
dials 1
didnt 3
divorce 2
do 1
doesnt 1
doing 1
done 1
door 2
down 2
dressing 1
driving 2
dropping 1
due 1
dwayne 1
dwyane 1
even 1
eventually 1
everything 1
exboyfriend 1
face 1
fake 1
falling 1
falls 1
familiar 1
family 1
feeling 1
feelings 1
feels 1
figure 1
first 2
fitness 2
flesh 1
flirts 1
floor 1
followed 1
for 12
found 1
freak 1
from 2
frustrated 1
fullspeed 1
furious 1
get 5
gets 2
gettogether 1
give 1
go 3
goes 4
going 4
got 2
great 1
ground 2
gun 2
gunshot 1
gym 6
hair 1
hands 1
happy 1
has 4
have 1
having 1
he 17
head 1
hearing 1
hears 2
help 1
her 43
here 2
him 5
himself 1
his 5
hit 2
hits 1
hogs 1
home 3
hospital 2
house 1
husband 1
immediately 1
in 12
inform 1
instinctively 1
intersection 1
into 3
is 21
isnt 2
it 4
jason 10
jenni 1
just 4
kicks 1
kill 4
killer 2
killing 1
kisses 1
kissing 2
knee 1
knew 1
know 1
knowing 1
last 1
leave 1
left 1
lets 1
lieutenant 1
light 1
like 3
line 1
list 1
location 1
longer 1
looking 1
lot 2
loves 1
machines 1
makes 3
making 1
mallory 1
man 1
many 1
married 1
marry 1
maybe 1
mean 1
members 2
membership 1
memories 1
men 1
money 1
murder 1
murdered 1
named 2
new 1
next 3
nicole 11
night 1
no 1
not 3
notice 1
notices 1
of 11
office 3
officers 1
okay 2
on 4
one 5
only 1
open 1
openly 1
other 1
out 7
over 2
owner 1
paid 1
pain 1
parking 2
pedal 1
perfect 1
phone 1
picture 2
piercing 1
police 3
potential 1
precinct 1
problem 1
pulls 1
question 1
questioning 1
quiet 2
radio 1
ready 2
realizes 3
really 2
relationship 1
relaxing 1
renewed 1
rents 1
report 1
reports 1
rethink 1
revenge 1
ruin 2
run 3
rushing 2
safely 1
same 1
saying 1
says 1
scared 2
sees 2
she 46
shot 2
shows 1
since 1
sister 1
sits 2
small 1
snapped 1
so 7
someone 1
sore 1
spends 1
stairs 1
start 1
station 3
stay 1
still 1
story 1
stress 1
style 1
sue 1
surprisingly 1
suspect 1
suspects 1
swat 1
taken 1
takes 2
team 1
tell 2
tells 6
that 19
the 67
their 1
then 3
they 11
think 1
thinks 1
this 2
threatens 1
three 1
through 1
time 2
times 1
to 44
together 1
told 1
tosses 1
traffic 1
transactions 1
tries 2
try 1
two 2
ultimate 1
unable 1
underage 1
underneath 1
until 2
up 1
velvet 1
very 1
voice 1
waiting 1
wakes 1
walk 1
walks 1
wanted 1
wants 1
was 4
wear 1
went 1
when 3
where 4
while 1
who 3
wife 1
will 2
with 5
women 1
wont 1
work 1
worried 1
would 2
wound 1
wyatt 11
year 1
years 1
yes 1
