9057476
/m/027w37p
/m/027w37p
Susan Patron
2006-11-07
{"/m/0dwly": "Children's literature"}
10yearold 1
12step 1
43 1
a 7
abandon 1
abandoned 1
actually 1
adopt 1
after 2
ago 1
an 2
and 11
anxiety 1
are 2
ashes 1
at 1
avid 1
away 1
be 2
beagle 1
becomes 1
before 1
being 2
book 1
brigette 1
brigitte 5
by 3
california 1
called 2
care 1
casts 1
come 1
convinced 1
desert 1
died 1
discovering 1
discovers 1
dog 1
dugouts 2
during 1
eastman 1
eavesdropping 1
electrocuted 1
expected 1
explains 1
exwife 1
father 1
favorite 1
fears 1
features 1
finds 1
first 1
five 1
for 1
found 1
france 2
friends 1
from 4
gets 1
girl 1
grows 1
guardian 1
had 1
hard 3
he 1
help 1
her 11
higher 1
him 1
his 2
hms 1
home 1
however 1
in 9
injured 1
is 4
joined 1
knot 1
leave 1
leaves 1
legally 1
life 1
lincoln 2
lives 1
looking 1
lost 1
lucky 7
lying 1
makeshift 1
meetings 1
memorial 1
miles 2
mine 1
mother 4
my 1
near 1
notion 1
novel 1
of 5
old 1
open 1
out 3
outside 1
pan 3
papers 1
passport 1
pd 1
plans 1
population 1
power 1
president 1
prompts 1
rest 1
restaurant 1
return 1
reveals 1
runs 1
sandstorm 1
seek 1
service 1
she 7
shelter 1
shortly 1
signs 1
small 1
soon 1
states 1
storm 2
suitcase 2
take 2
takes 2
tells 1
that 3
the 13
their 1
them 2
there 1
they 2
this 1
three 1
tired 1
to 9
town 4
townsfolk 1
two 2
tyer 1
united 1
up 1
upon 1
wait 1
were 1
when 2
who 3
whose 1
will 2
wind 1
with 4
year 1
years 1
you 1
