32956954
/m/0h51z2w
/m/0h51z2w
David Weber
2011-09
{"/m/06n90": "Science Fiction"}
1000 1
20 1
a 6
about 1
accused 1
actual 1
admiral 1
adopted 1
advances 1
after 4
against 1
agents 1
aivah 1
all 2
allow 2
also 2
an 1
and 21
angle 1
another 1
anticipated 1
anzhelique 1
aplynahrmahk 1
archangels 3
are 7
areas 1
arrive 1
artillery 1
as 5
asks 1
assassinate 1
assassination 2
assassins 1
asylum 1
at 3
attempted 1
attempting 1
awaiting 1
awareness 1
badly 1
baron 1
be 1
becoming 1
been 1
before 1
begins 2
below 1
blamed 1
bought 1
breachloading 1
brethren 1
but 3
by 5
caleb 1
calls 1
can 3
case 1
centers 1
charis 5
charisian 2
charisians 4
chisholm 1
church 1
circle 1
clyntahn 4
communities 1
comply 1
conspiracies 1
construct 1
contacting 1
contacts 1
continue 2
continuing 1
control 1
convinces 1
copied 1
coris 2
corisande 2
council 1
daivyn 3
death 1
deep 1
delferahk 1
developed 1
developing 1
developments 2
devices 1
differently 1
distribute 1
do 1
doubts 1
driving 1
earl 3
embargoes 1
emerald 1
empire 1
empress 1
engagement 1
escape 1
especially 1
exercise 1
expatriate 1
experimenting 1
fairness 1
falling 1
family 1
father 1
finally 1
find 1
firmness 1
flow 1
for 3
form 1
four 1
from 6
front 1
further 1
future 1
gets 1
god 1
government 1
grand 2
green 1
grey 2
guardianship 1
gunpowder 1
guns 1
harbour 2
has 5
have 1
he 6
hearts 1
hektor 1
help 1
her 1
him 1
his 7
imposed 1
impossible 1
in 9
inciting 1
inducted 1
injured 1
inner 1
inquisitor 2
inside 1
into 2
irys 2
is 10
it 6
judicious 1
keep 1
keeping 1
kill 1
killed 1
king 1
known 1
large 1
last 1
leading 1
little 1
loading 1
looking 1
lost 1
major 1
makes 1
manage 3
members 1
mercy 1
merlin 6
message 2
militia 1
minds 1
mob 1
more 1
mountain 1
muskets 1
nahrman 1
nemesis 1
newest 1
no 2
nothing 1
novel 1
now 1
of 30
on 4
one 1
onto 1
or 2
orbital 1
orders 1
other 1
outrage 1
over 3
owl 1
own 2
pahrsahn 1
pair 1
paityr 1
part 1
people 1
perhaps 1
pica 2
plans 1
platforms 1
population 1
power 1
precaution 1
previous 1
prince 3
princess 1
prisoners 2
protect 1
protection 1
put 1
quarter 1
question 1
receives 1
recruit 1
replacing 1
resentment 1
reservoirs 1
response 1
return 1
reveals 1
revolvers 1
rifled 1
safehold 1
saint 1
says 1
secretly 1
secrets 1
several 1
sharleyen 1
she 2
shoot 1
siddarkmark 1
siddarmark 2
siddarmarkian 1
silkiah 1
situation 1
sleeping 1
snarcs 1
so 2
some 2
son 1
sooner 1
spite 1
stand 1
steal 1
steam 1
still 1
stokes 1
stop 1
strained 1
subjects 1
taken 2
takes 1
targets 1
technological 1
technology 1
temple 2
text 1
than 1
that 6
the 38
their 1
them 6
themselves 1
then 1
there 1
these 3
they 2
thirsk 2
this 3
those 1
thousands 2
thwarted 1
time 1
to 21
trade 1
trained 1
travels 1
treason 1
trials 1
trusted 1
turbines 1
uncertain 1
under 2
undeterred 1
until 1
up 1
use 1
using 1
versions 1
violence 1
wagons 1
walls 1
war 1
was 2
water 3
ways 1
well 1
wheels 1
when 1
whether 1
which 2
will 1
win 1
with 5
working 2
wylsynn 1
years 2
zebediah 1
zhames 1
zhaspyr 1
zherneau 1
